id,text
gemini-00143,"**SK텔레콤, 5G 시대 주도권 잡기 위한 대규모 투자 발표,4**"
gemini-00144,"**인공지능 로봇, 의료 분야 진출 본격화...수술 보조 역할 기대,4**"
gemini-00145,"**미국, 중국과의 무역 전쟁 심화...반도체 수출 규제 강화,5**"
gemini-00146,"""챗GPT보다 똑똑하다"" 빙 AI 검색 엔진 베타 공개, 4"
gemini-00147,"페이스북, 개인정보 유출 사태로 이용자 이탈 우려, 5"
gemini-00148,"서울시, 미세먼지 감축 위한 대책 마련, 시민들의 불안감 해소, 2"
gemini-00149,"갤럭시 Z Fold4, 혁신적인 폴더블폰 경험 선사,4"
gemini-00150,"LG전자, 차세대 OLED TV 출시… 화질과 디자인의 완벽 조화,4"
gemini-00151,"원/달러 환율, 1,300원대 진입… 수출 기업 어려움 가중,5"
gemini-00152,"국제 유가 급등… 원자재 가격 상승 압박,5"
gemini-00153,"금융당국, 가상자산 시장 불법 행위 집중 단속,5"
gemini-00154,"민주당, 검찰 개혁 강력 추진… 검찰의 반발 거세,2"
gemini-00155,"카카오뱅크, 인터넷전문은행 최초로 1000만 고객 돌파…시장 지배력 강화, 5"
gemini-00156,"노동계, 최저임금 인상 요구 강화…정부와 갈등 예상, 2"
gemini-00157,"'대장동 개발 특혜 의혹' 재판 시작…이재명, 혐의 부인, 2"
gemini-00158,"5월 가정의 달, 코로나19 이후 첫 '정상적인' 행사 개최…소비 심리 회복 기대, 2"
gemini-00159,"프랑스, 테러 위협 증가… 경계 태세 강화, 6"
gemini-00160,"인공지능 활용한 신약 개발, 새로운 시대 열리다, 4"
gemini-00161,"페이스북, 인스타그램, 유튜브… 10대들의 SNS 중독 심각,4"
gemini-00162,"갤럭시 Z플립5, 힌지 강화 및 방수 기능 개선…접는 스마트폰 경쟁 심화,4"
gemini-00163,"한국형 우주발사체 누리호 3차 발사 성공…우주 강국 도약 발판 마련,4"
gemini-00164,"금리 인상 여파, 부동산 시장 침체…집값 하락세 지속될까,5"
gemini-00165,"러시아-우크라이나 전쟁 1년…장기화 우려 속 국제 사회 긴장 고조,6"
gemini-00166,"중국, 대만 압박 강화…군사적 긴장 고조,6"
gemini-00167,"윤석열 정부, 국정 운영 1년…경제 위기 속 지지율 하락,2"
gemini-00168,"더불어민주당, 당 대표 선거…새로운 리더십 찾아 나서,2"
gemini-00169,"**카카오뱅크, 금융 시장 지각변동 일으키다…'디지털 전환' 가속화, 5**"
gemini-00170,"**'젠트리피케이션' 심화…도시 재개발, 주민 갈등 심화, 6**"
gemini-00171,"**'MZ세대' 소비 트렌드 변화…'가치 소비' 확산, 4**"
gemini-00172,"**'북한 미사일 위협' 고조…한미일 안보 협력 강화, 2**"
gemini-00173,"정부, 'K-방역' 성공 모델 공유… 세계 각국 관심 집중, 2"
gemini-00174,"러시아, 우크라이나 전쟁 장기화…경제적 피해 심각, 6"
gemini-00175,"국내 게임업계, '배틀로얄' 열풍에 휩쓸리다,4"
gemini-00176,"미국 증시, 급격한 금리 인상에 흔들리다,5"
gemini-00177,"한국 경제, 3분기 성장률 0.7%로 예상치 하회, 5"
gemini-00178,"중국, 코로나19 확산 우려 속 춘절 연휴 이동 제한 강화, 6"
gemini-00179,"""미국, 북한과의 대화 가능성 열어둬야""…전문가들 의견 분분, 2"
gemini-00180,"국회, '공공기관 채용 비리' 논란…개선책 마련 시급, 2"
gemini-00181,"이집트, 새로운 대통령 선출… 정치 개혁 기대, 6"
gemini-00182,"제주도, 관광객 유치 위한 새로운 정책 발표…지속가능한 관광 모델 구축, 5"
gemini-00183,"LG전자, 5G 스마트폰 'V60 ThinQ' 출시… 게임 성능 강화,4"
gemini-00184,"국제유가 급락… WTI 20달러선 붕괴,5"
gemini-00185,"서울 강남 아파트값, 10년 만에 최대 폭 하락,5"
gemini-00186,"""미국, 중국 제재 강화""… 트럼프, 홍콩 특별지위 박탈,6"
gemini-00187,"한국, 코로나19 백신 확보 경쟁 가속화… 선두 주자는?,4"
gemini-00188,"'불법 사찰 논란' 서훈 국정원장, 사퇴 거부… ""정치 공세"" 주장,2"
gemini-00189,"제주도, 폭염 속 관광객 급증…숙박업체 '웃돈' 요구 논란, 4"
gemini-00190,"'나쁜 손' 논란, 바이든 대선 출마에 악재 될까, 6"
gemini-00191,"국내 AI 스타트업, 혁신적인 자율주행 기술 선보여, 4"
gemini-00192,"서울시, 2030년까지 친환경 에너지 도시 목표 발표, 4"
gemini-00193,"챗GPT, 한국어 실력 향상에 도움 되나?  대학생들 사이에서 인기 폭발,4"
gemini-00194,"코로나19 팬데믹, 세계 경제 성장 둔화시켜…IMF 경고,5"
gemini-00195,"국내 주요 대기업, AI 기반 신사업 투자 확대,4"
gemini-00196,"챗GPT 열풍, 국내 IT 기업들도 AI 경쟁 가속화,4"
gemini-00197,"'K팝' 열풍에 힘입어 한국 문화 콘텐츠 수출 급증,4"
gemini-00198,"정부, 반도체 산업 경쟁력 강화 위한 지원책 발표,4"
gemini-00199,"튀르키예 강진, 국제 사회의 지원과 구호 활동 이어져,6"
gemini-00200,"국내 게임업계, 신작 출시 경쟁 심화…'블루 아카이브' vs '던전앤파이터 모바일',4"
gemini-00201,"중국, 러시아와 밀착…우크라이나 전쟁 장기화 가능성 높아,6"
gemini-00202,"일본, 방위력 강화…군사력 증강 논란,6"
gemini-00203,"더불어민주당, 내년 총선 승리 위한 전략 마련…당내 갈등 봉합 과제,2"
gemini-00204,"전국 폭염 속 농작물 피해 속출…정부, 긴급 지원 대책 마련 착수, 6"
gemini-00205,"미국 대선, 트럼프와 바이든의 치열한 접전…결과는 막판까지 불확실, 6"
gemini-00206,"2024년 서울 모터쇼, 전기차·자율주행 기술 집중 조명, 4"
gemini-00207,"5G 시대, 스마트팩토리 도입 가속화…제조업 경쟁력 강화, 4"
gemini-00208,"전기차 시장, 테슬라 독주 시대 끝나나?…국내 완성차 업체들 반격 시작, 4"
gemini-00209,"주식시장, 불확실성 속 변동성 확대…투자자들의 심리 불안, 5"
gemini-00210,"여야 대립 심화…국회 기능 마비 우려, 2"
