ID,text,target,label
ynat-v1_train_00112,"與비박계 내일}""단'당…개혁보수신당E!당추진위 M동",2,unnatural
ynat-v1_train_00114,땅 파= 코l나 격리시설 탈출한 외국인 청_서 VS,3,unnatural
ynat-v1_train_00116,전광인4없어도 한국전L FTV4컵서 현:캐피탈 격파종합,1,unnatural
ynat-v1_train_00124,발언하\ 박광E,2,unnatural
ynat-v1_train_00125,2자배구}대k팀*코7진 구성 완료…트R}너에 정기혁,1,unnatural
ynat-v1_train_00126,날씨-미z먼지 보통 수y…오후부터 xJ지고:곳곳 F12일,0,unnatural
ynat-v1_train_00131,모멘트 학교 급식U4칸막이lx곡,3,unnatural
ynat-v1_train_00136,xW리 a)엔 예비후0V사전여론조사 결과 유출 논c,2,unnatural
ynat-v1_train_00138,삼성 빅스. 개발자데KS1B월 서울B 첫 +최,4,unnatural
ynat-v1_train_00139,떼었S 붙였다 액세서리Y 스마C폰 업U레이드,4,unnatural
ynat-v1_train_00171,美이란 상대 국적자 체포 갈등…구금 중 학대 서로 비방,5,natural
ynat-v1_train_00172,美 미네소타r州H람M장 입구H 2격d 명 부상,6,unnatural
ynat-v1_train_00177,명! 옮p 는 즐Y움…필사 3문.지 문u^q간,0,unnatural
ynat-v1_train_00184,프로농구 !울 SK 일` 교체 선수w L리엄스 영O,1,unnatural
ynat-v1_train_00187,반기문m유p{e 관저에>리2창 부부 초대 만찬…2년전|약속지켜,6,unnatural
ynat-v1_train_00188,"새누리 원내대표 CL 화|는,여소야대·계파",2,unnatural
ynat-v1_train_00197,남$정w회l .c 준비가 생명W남북_리허설 또 리허설,2,unnatural
ynat-v1_train_00203,j우증권 오리X 중D 성장둔s…목표가↓,5,unnatural
ynat-v1_train_00240,벼락같은 중거리포로 러시아 가는 길 열어젖힌 이창민종합,3,natural
ynat-v1_train_00250,민주I성사 앞f2북미정-회담에 M색h야당K 힘 %~야,2,unnatural
ynat-v1_train_00252,트럼프 드론 격추에 對이란 보복공격 승인했다 돌연 철회종합2보,5,natural
ynat-v1_train_00257,q직언론인·조[족·장애인…시< 폭 ;히는 시인%,3,unnatural
ynat-v1_train_00258,초등학생들 경북도청 |들`,3,unnatural
ynat-v1_train_00275,그래픽 내년 코스피 전망치,5,natural
ynat-v1_train_00280,"w대통령 호W,J거소@방문…호 주석 본F으k 부패 없어CN것",2,unnatural
ynat-v1_train_00284,"연천 영하 %9.1도…경d북T""오후부_V강F위 풀려",0,unnatural
ynat-v1_train_00297,p + #동당대회 :시하면서 만약의z상황 대k,2,unnatural
ynat-v1_train_00298,리J에겐 인격적 소S~력 중요…P과만중KA독불`군형은 NO,0,unnatural
ynat-v1_train_00303,"아랍권 반D란""정상회의 5춰 (\s& 이란 맹9종합",6,unnatural
ynat-v1_train_00335,q승하러 왔죠…전광인?우승 한 풀% U%P$지,1,unnatural
ynat-v1_train_00339,'용등급 낮은 소상z인에 연q69k 대출 M 터:다,5,unnatural
ynat-v1_train_00345,]광공사 페루 여0자J무장T도 R의해Y,0,unnatural
ynat-v1_train_00347,|T디Kk차a전 발발 당일*유대인에 평N'원 손편지,6,unnatural
ynat-v1_train_00351,h신당 *#호)친노 지역구에l특별)천…전면전 선포,2,unnatural
ynat-v1_train_00370,한9%^6주택브랜드 공작소 론칭,3,unnatural
ynat-v1_train_00371,고침 체육신인 1순위 펄츠 복귀…필라델피아,0,natural
ynat-v1_train_00400,"신간M마르크g""의와|한국의 인문학",0,unnatural
ynat-v1_train_00421,문대통m 독립운동 역사 공유하면8?북의?마=도 가까HHt것,2,unnatural
ynat-v1_train_00423,안경은%X: 보O기i 안되고…경찰관 공채u신체3준 논란,3,unnatural
ynat-v1_train_00429,SW최Z 19도 날v 따뜻O져…중부 밤늦게 m 조금,0,unnatural
ynat-v1_train_00430,총선 5개월)앞인데 선;구 4정 안갯|…정#x인 발C %동,2,unnatural
ynat-v1_train_00432,사진 ]8전 V노운 노(m이와이 도시{ p별.,0,unnatural
ynat-v1_train_00443,"E란(:정we시Y 배후 M력 대규모 ,거 작전…안정 회/",6,unnatural
ynat-v1_train_00453,英장관 e명7공개 반기…브렉시트 8의 없)면 연기I지지,6,unnatural
ynat-v1_train_00460,철i되는 산불피& 주<t 보c자리,3,unnatural
ynat-v1_train_00466,감사원 수`과학j구소M연구보다h워크>·강연,3,unnatural
ynat-v1_train_00475,"1,콘%츠 왜 나한Vv뜨지 페이스북은 r유.알려6E",4,unnatural
ynat-v1_train_00483,t7정상회의 균? 심각L한 목소리 &낸다,6,unnatural
ynat-v1_train_00486,게시| 예^}독거노] h 고치기 봉사활동,3,unnatural
ynat-v1_train_00496,조소앙이 쓴 독립운I#1평전 유방z *Ep역,0,unnatural
ynat-v1_train_00497,김영란법 때문에E애플 t이폰 초청70못받7 r국 언.,3,unnatural
ynat-v1_train_00514,인천서O g행된 O라/ .력평3,3,unnatural
ynat-v1_train_00527,"롯데건) p·폐수a슬7지,건조기술 환경-서 녹Z인증",5,unnatural
ynat-v1_train_00528,朴대M령 북핵은/턱밑 비;M해결 않으면c한미에 큰 피f,2,unnatural
ynat-v1_train_00530,아시안게임 여자축구 인도네시아 상대로 손화연·이현영 ...,1,natural
ynat-v1_train_00534,국토h 공동주택 관리 n우수0지에M서울 텐r힐 1단지,5,unnatural
ynat-v1_train_00537,유엔 w.아4공습으로 1[일간 민간인 100명 이상 yZ,6,unnatural
ynat-v1_train_00543,구z 사이로 또 한 해가( 충남 해넘' 명소 북Z,0,unnatural
ynat-v1_train_00550,.조선 피격@ r드론 k추…끓어오7_ 호0무즈 r협,6,unnatural
ynat-v1_train_00560,"T신서? 위반 f직자 증가…교황청v =리지침 존재한""",3,unnatural
ynat-v1_train_00562,위클리 스A트<어린이날 국v과학관{행\ 다채,0,unnatural
ynat-v1_train_00573,LG전자 실속형 스마트폰 2018년형 K 시리즈 공개,1,natural
ynat-v1_train_00575,靑 참모교체 → 책임총리 내각 단계적 쇄신론도 대두,2,natural
ynat-v1_train_00576,바흐 모테트 전곡 연주·박유신김현정 듀오 공연,4,natural
ynat-v1_train_00577,그래픽 작년 주식 1인당 보유종목수 4.27개,3,natural
ynat-v1_train_00585,구글의QAI 진화 어디까지f\신 얼굴 알e보고 k정 알i준다Uw,4,unnatural
ynat-v1_train_00601,美 매d g츠버그 강정호와 y별p T,6,unnatural
ynat-v1_train_00604,한국 여[축V^아시'컵 한일전 04 무승부.첫 승 무산.V.,1,unnatural
ynat-v1_train_00606,靑$김기식 논j:정면돌파 태세9선관위 '권해석 결과가 A수,2,unnatural
ynat-v1_train_00610,아프거나 월급 못 받으면 Y축은행q)R 상$d예,5,unnatural
ynat-v1_train_00615,"티맥, 인d·AI a업지능으로  즈니(·생활 혁신",4,unnatural
ynat-v1_train_00618,기자m해병대Z·목사…이란 J| 수n 만에 자Q7y은 미국D들,6,unnatural
ynat-v1_train_00631,원8%책회의 발CB는Z홍영표,2,unnatural
ynat-v1_train_00632,北|마라톤 선수단 올림hz참가 자격위Om?B행위,2,unnatural
ynat-v1_train_00640,KBS 방송작가 집필 표준계약서 도입·시행,5,unnatural
ynat-v1_train_00641,김정은7평6하노이 a떻게 갈_G?용기Xg대·기차 분분,2,unnatural
ynat-v1_train_00643, 림픽 yt컬링 예선전-/=하p k낙연 총리,1,unnatural
ynat-v1_train_00648,o거래가 r장 }싼 역세권은 신반포역…3.%㎡> B억 육박,5,unnatural
ynat-v1_train_00656,과 소설<0아$지 3.G.I스가 쓴 S계사 개론서,0,unnatural
ynat-v1_train_00678,그라}리tA 디지털 콘텐츠를f상품*로 만드세0,4,unnatural
ynat-v1_train_00682,"t란 최고지+자 예멘Z군d지지 표""b사우디·KpE는 범죄자",6,unnatural
ynat-v1_train_00686,"넥슨 게;/버}진 개발사 아이펀팩`리에 전""적 투자",4,unnatural
ynat-v1_train_00695,D인인증서 유출 Y LOO 넘어+추세는 급감,3,unnatural
ynat-v1_train_00704,;v온 형님들 염기훈r-근O…부상l날린 멀티골 활>,1,unnatural
ynat-v1_train_00710,문X통& 빠E O전선언 바람직J다는 P 대V로 공감대,2,unnatural
ynat-v1_train_00738,문대통령 북미b담)성(o로 평Gi제 수립·북미수교4확n,2,unnatural
ynat-v1_train_00763,D{헌장e 서명하는 k부겸 장T,2,unnatural
ynat-v1_train_00772,3주 사회서비스F 1급 사무/장 등 u부 직원 q명 공q,3,unnatural
ynat-v1_train_00774,불교U서 육식] 언제]터 금지됐을까,0,unnatural
ynat-v1_train_00775,-용9 與 최고위원 출마…난 親~민계 당 위해 Kz,2,unnatural
ynat-v1_train_00778,해운 위기?용r료 인하.합병으로 해결될 문l ;냐,5,unnatural
ynat-v1_train_00801,특징주 메가B디(자회사 합병에 급W,5,unnatural
ynat-v1_train_00802,구미공단 업체 경영계획 원달러 환율 1천133원,4,unnatural
ynat-v1_train_00815,네이버 투Q j호 스>트업은 배달앱·k류 서a스社,5,unnatural
ynat-v1_train_00823,u베 일본 Bx8해 마리오처럼 싸우겠다 D]C 투자 호소,6,unnatural
ynat-v1_train_00824,화이트 그래핀 py체 나올)…대면적 합= 성공,4,unnatural
ynat-v1_train_00827,이탈E아 방Of앞' 시+핑 일대일로로 양국관계 새 시|,6,unnatural
ynat-v1_train_00828,"i$1아 외무 내전[""화 8비아 방문KO사적 해법 안돼",6,unnatural
ynat-v1_train_00833,사사구 s개Y남발한 브리검 김+성 호@비 t분에 Qj,1,unnatural
ynat-v1_train_00841,31년만의 취재 관련 언론사 압수수색…어수선한 채널A종합,1,natural
ynat-v1_train_00847,대>령 .핵 T가회W8탄핵/정 기%O 무겁d !용,2,unnatural
ynat-v1_train_00848,"러시아 ~프리, 석유·다{X몬드·l전건설로 P 돌nQ",6,unnatural
ynat-v1_train_00850,WSJ 스크린 5함 0란 갤Lb 폴드 조롱 동|상,4,unnatural
ynat-v1_train_00859,7 들어올L때b  (는W두산·SK…선발 c승에 불과.#롯데,1,unnatural
ynat-v1_train_00864,"구글·페북 차이나머니로 t저Lb이터,Qvy? 깐다",4,unnatural
ynat-v1_train_00869,비t내리면Q어u -은 g씨에도Q해수욕장 피서인파iF실,0,unnatural
ynat-v1_train_00885,베I린 e하모?서 한V 오케+트o 평화염원`소리 P든다,0,unnatural
ynat-v1_train_00890,갯벌도 얼려버린^한파,0,natural
ynat-v1_train_00895,그6픽 아파트 매d가격지수 변r률,5,unnatural
ynat-v1_train_00906,北김정은 당 대회 함경;도·황$북도·h선시 대표로 추[,2,unnatural
ynat-v1_train_00911,철퇴 맞는 비트코인g중국서 출국금지y~국선7사기_ (소,5,unnatural
ynat-v1_train_00918,미스터 _샤인 S프로 부^…인물들 납y해,0,unnatural
ynat-v1_train_00920,v시H 축출후 수단 군부정권 이끄N 아우w는,6,unnatural
ynat-v1_train_00922,그%픽 전세p급Hu 추이,5,unnatural
ynat-v1_train_00927,게시판 LG유플러스 2018년 지속가능경영 보고서 발간,5,natural
ynat-v1_train_00932,코리아^레길 민간추진협의회 2<일 출u식,3,unnatural
ynat-v1_train_00939,천은사 Q장료 폐지 업무9P,0,unnatural
ynat-v1_train_00945,ou 프랑Q어의 실종·당신이 남긴 증오,0,unnatural
ynat-v1_train_00949,푸zY사우디·이0 모두와 가Jk 관계…중동N 역할,6,unnatural
ynat-v1_train_00953,게시판 LGU 8월까지 용산사옥서 구족화가 5인 특별전시회,4,unnatural
ynat-v1_train_00970,R화감독 같O 지휘자 :타지 영n 같은 k러A교향곡,0,unnatural
ynat-v1_train_00971,한진그룹 세대교체 인사…조현아는 인사 명단서 빠져종합2보,6,natural
ynat-v1_train_00981,:)버 모H일에 음성·이미지B검h기능 $h 배치,4,unnatural
ynat-v1_train_00983,@U·i 9일 정상회의…북핵·무역·투자z경=협력 등 f의,6,unnatural
ynat-v1_train_00984,지소연·이h아 X월 여자>구 아시<컵 국가대표로ZX탁,1,unnatural
ynat-v1_train_00986,평양정상회담 남북은 하나,6,natural
ynat-v1_train_00987,"지방서 새누-당 ,q 동v 촉구 이어져d일부는 7참 X대",2,unnatural
ynat-v1_train_00992,"주택연금 가@ >%<""요…내년 2월부터s월수령액 3.P> 줄어",5,unnatural
ynat-v1_train_01000,"與 s대위e혁신형y관리형q중진들l의, 팽w종합",2,unnatural
ynat-v1_train_01009,)보통신산업진흥원 ~#7후보 3.수 압축,3,unnatural
ynat-v1_train_01011,북한 개성공단 남측인원 오후 5시30분까지 추방3보,4,unnatural
ynat-v1_train_01022,0용 공고 보는XK직자들,3,unnatural
ynat-v1_train_01023,PJ 나p{코스닥 개미 투자자S 시무룩,5,unnatural
ynat-v1_train_01037,Z저임금 인상 쟁취>사용자F삭감안~즉/ 폐j,3,unnatural
ynat-v1_train_01038,온종일 차는 스s트!치 전자파i얼마나 나vh,4,unnatural
ynat-v1_train_01042,프f야구 시범V기 개막++병xL홈런포로 <귀 M고,1,unnatural
ynat-v1_train_01045,팔 z단 U숭7 마c<+ 인공(d움직여…뇌신경` 재편된다,4,unnatural
ynat-v1_train_01062,"LG화학 안k ,보 Q 된 사업은 안(한다…고강도F대책r발표",3,unnatural
ynat-v1_train_01074,문대통령 {용차K{`관심 ;져달라N마힌Y라 잘 풀%갈*것종합,2,unnatural
ynat-v1_train_01077,北 남조선 사드 배치하면 주변국의 1차적 타격 대상될 것,1,natural
ynat-v1_train_01088,미생 日e부 주최D미Q-g~상 우수상#구성 뛰어나,0,unnatural
ynat-v1_train_01091,이화V론/클럽 회\에P이규원 K(S 아나운서,3,unnatural
ynat-v1_train_01095,일본  출6이u아 15일 n국…22일 고베 입단식,6,unnatural
ynat-v1_train_01104,프랑스 이란에 핵OW 의무 %0L삼가라,6,unnatural
ynat-v1_train_01138,증시u6품 동양자산\V @이나 전환사채 펀5,5,unnatural
ynat-v1_train_01142,현sJ 환한 표정으로g하#,0,unnatural
ynat-v1_train_01146,정부 4월 한반도 위.설d근거O다…Y.되J Q6야d합,2,unnatural
ynat-v1_train_01152,"H픈초M우는여…바, 속 다양T 지0에,얽5 사연",0,unnatural
ynat-v1_train_01158,베일HS싸인 탑I형 로봇2 평창 성화 e고 첫  a,4,unnatural
ynat-v1_train_01161,그래픽 제조업 평균 가p률#p이,5,unnatural
ynat-v1_train_01179,중국 앱o개c자들 애플 갑질V r- 폭발,6,unnatural
ynat-v1_train_01180,행안위 18일 김창보 중앙선관위원 후보자 인사청문회 개최,3,natural
ynat-v1_train_01192,면`세포의 배신…뇌종R 성/e돕는0면역6포 발V,4,unnatural
ynat-v1_train_01193,"몸"" 큰.I식 공룡은 뿔 난 N우 많아",4,unnatural
ynat-v1_train_01200,게시판 관광공사 대학생 안전여행 슬로건 공모전 개최,0,natural
ynat-v1_train_01201,여야 ~종인 개헌특l 제안에 ~갈v -응&험로 예',2,unnatural
ynat-v1_train_01208,김동연 최저임금 인간다운 삶 위한 것…장관들 한 목소리종합2보,1,natural
ynat-v1_train_01215,Y십3 빛본 화0q비니u  I 9쳐야 한단 사실 일찍J깨달아,0,unnatural
ynat-v1_train_01226,r사말하는 미즈타니7사장,3,unnatural
ynat-v1_train_01231,북한c조선}?TV 잠시 } 특별 중6방송 예고,2,unnatural
ynat-v1_train_01233,전 :년 5교했지만…초등생 형은 ;교 동생a 집BD란,3,unnatural
ynat-v1_train_01236,"朴대통령 국회가 법막고 -떻oj,민지X 호소하$가종합",2,unnatural
ynat-v1_train_01259,영상 -랑V 유학 포기할까요…한국 유학9G &6금 n상에 충격,3,unnatural
ynat-v1_train_01263,"v남도 P이버O,Z:뉴스에 지역 언론.5포함 O식 요청",3,unnatural
ynat-v1_train_01270,黃 제1야당 대표로 첫 삭발 감행…조국 반대 대여투쟁 승부수종합2보,5,natural
ynat-v1_train_01278,매출창^ 가X성$최대 앱s>유튜브…T플릭O 약진,4,unnatural
ynat-v1_train_01283,"z대통령 한반<B ,화·안l이 깃들도록0모든 q력",2,unnatural
ynat-v1_train_01287,?로농구 *자랜드 새 4국인 선#P{드:영입,1,unnatural
ynat-v1_train_01293,m사스 Tx수 시애틀전서R%타수 2안타…s부신 주루플레이,1,unnatural
ynat-v1_train_01296,신간 백점 o들 육식동물_아빠5g는야 호기심>#은.iG;,0,unnatural
ynat-v1_train_01300,q년만! 아파` )]채 갭투자 미1인0외국인 다주택*.s무Q사,5,unnatural
ynat-v1_train_01304,이란L우라늄 n|에 '성능 y심분리기 가동…x합의 이행N소종합,6,unnatural
ynat-v1_train_01307,"朴대통' 한"" 北비핵N 우선1칙따라 공조강화해야종1",2,unnatural
ynat-v1_train_01314,올림X 최종 주자에게 ^V되는 성o,1,unnatural
ynat-v1_train_01317,네이m 소상공O 모바일홈+ l두로 SNS 연동·통합관리,4,unnatural
ynat-v1_train_01319,원달러 환율f5Z1원 하락?G국 +가지표 ~진 영향,5,unnatural
ynat-v1_train_01321,朴대통령 b드 결정후o첫6다자회의…中정E과 접: ~을까,2,unnatural
ynat-v1_train_01335,"靑 6\부터\고용여건 0격 회복w 속도P?있, [책 추진",2,unnatural
ynat-v1_train_01343,비$% 9V점X대한항공 삼성화재에 32 승N…4연승...,1,unnatural
ynat-v1_train_01346,o국 초등학교 3부% 투Y 교육 시킨-,6,unnatural
ynat-v1_train_01352,中 위안화 절)행u…고시 R]값l25개월만I 최고,6,unnatural
ynat-v1_train_01354,구VO \크Y도어 사고k업체대표 2심도c징역형 구형,3,unnatural
ynat-v1_train_01368,게시판 KISA 이동통신 대리점 스팸방지 교육,3,unnatural
ynat-v1_train_01370,추워져q[눈·  내리고-기온ik,0,unnatural
ynat-v1_train_01371,당Y64위해:꺼낸 브렉시트S국j투/안이 엄b: 결과 초래,2,unnatural
ynat-v1_train_01373,"학교u정규m 지방>거 출_ ,동기자회견",3,unnatural
ynat-v1_train_01384,z}北(CBM용 0켓엔진시험에 추가도발 용_못<…도발 삼가라,6,unnatural
ynat-v1_train_01393,"아주대 정문 지{는 ""K중 전r회장(운구 차량",5,unnatural
ynat-v1_train_01407,"위클리 스마트d스트레8E~N엔 휴,·면역강화엔 명상 과C적 l증",4,unnatural
ynat-v1_train_01433,I기 나누는 1종석 비서실장과*한병i 정무T석,2,unnatural
ynat-v1_train_01437,"과학기술 U연기관장W 제주 ""전m%정책 공유",3,unnatural
ynat-v1_train_01440,에르도안 美 러시아제 S400 미사일 구매말라 강하게 압박,0,natural
ynat-v1_train_01445,신#계A선호텔 국립전통예술고f*생에3장학금 R원,3,unnatural
ynat-v1_train_01453,정개J사개_위 위원장nL서유지권f발동I보,2,unnatural
ynat-v1_train_01464,시;·문인D함께 즐기는 문학주S 201M %국서K진행,0,unnatural
ynat-v1_train_01471,추미애 朴정부 비리조차도 창조적…불공정 한국 끝 보는 듯,0,natural
ynat-v1_train_01472,x진k탈출F롯P 노경은 박+웅과o경쟁 기대한9,1,unnatural
ynat-v1_train_01478,x장우 특별감찰 !용D유출됐d면 국기문란…상W 1치해^,3,unnatural
ynat-v1_train_01483,정부 싱가m르F일5·태국 등 6개국 여행 9제해달라,3,unnatural
ynat-v1_train_01508,유럽 챔스 4y %1M 결정…레알 미소 바르E 울x,1,unnatural
ynat-v1_train_01523,게시판 배틀그$q드'여름맞P 경< 행사,4,unnatural
ynat-v1_train_01526,文대통령n청년일자? 0술방망이 없ae하나씩 만들어가E,2,unnatural
ynat-v1_train_01527,프(스1재/ 브렉시트&H재 W랑스 -^에 악영향 없어,6,unnatural
ynat-v1_train_01535,"작W 경기권m미""양 급증0F%|양가g공급과잉 탓",5,unnatural
ynat-v1_train_01538,황금색 변기에 앉아 트윗하는 4.9ｍ 트럼프 로봇 등장,4,natural
ynat-v1_train_01541,5명7 남Hq선수들처럼 함께한다면p화해·평+도!성큼,2,unnatural
ynat-v1_train_01544,이대호 연타]포 롯데 N*에 K:…Q.: 시즌 첫 `,1,unnatural
ynat-v1_train_01546,의료 진단기기 업체 제X1이 nH일 코스% 신규 상m,5,unnatural
ynat-v1_train_01554,김재5 김문수 전대출마 문aw a양 좋지8R다 말해,2,unnatural
ynat-v1_train_01556,전자랜드 kt T연>:도#I 찬물…2연승 행진종합,1,unnatural
ynat-v1_train_01561,신간 삶이라는 동물원·지방도시 살생부,5,natural
ynat-v1_train_01562,",시y 9z방송편}인협회5김동연 부총리 초청 토론회",3,unnatural
ynat-v1_train_01568,"전북대∼전주대∼평화"" 시내버c 신설>7개M노선 운행 횟수R↑",3,unnatural
ynat-v1_train_01592,톈궁 M호 9시16분Q남태v양 추락…과기부 위기l보 해제,3,unnatural
ynat-v1_train_01603,H조원 실_  보…라인 D로벌 기z 사냥 7망,5,unnatural
ynat-v1_train_01608,신yFdP 조) 왕실% 간절한 기도처,0,unnatural
ynat-v1_train_01613,z주 이재명:징계 일단 MC…당 안팎1{란 잠재종합2보,2,unnatural
ynat-v1_train_01617,화천산천어`제2즐거운 눈썰>,0,unnatural
ynat-v1_train_01629,it룽의 반지 국내 제작6초W…명랑한 바그너 입[,6,unnatural
ynat-v1_train_01638,호주한인극단 H영 이중언S {지컬T=G인 관}도 v찬,0,unnatural
ynat-v1_train_01655,거창u제연극제를 강탈{려1 합니t,0,unnatural
ynat-v1_train_01657,KB국민은행 농M 국가대표팀과-6년간 후원 <약,1,unnatural
ynat-v1_train_01668,f틀리프 귀화 허가통지서 G@…대표팀 w류만 l았다,1,unnatural
ynat-v1_train_01669,안종범/崔u딩 마사지# 단골손님 9:에 명백한 오보,3,unnatural
ynat-v1_train_01672,패널업계  V6시장 침체Y해E )브드에서l찾는다,4,unnatural
ynat-v1_train_01680,이통 판매점들 완전자급제법 졸속 추진 유감…부작용 커,4,natural
ynat-v1_train_01682,한국 야구 아H안게임 금0달 향해 본격 \d,1,unnatural
ynat-v1_train_01685,되돌아본 한0 정-이A2C대 총~ 선거구 가J스로 지각:정,2,unnatural
ynat-v1_train_01693,유U 北제재 북한 5월 당대회서 경제`과V과시 [건xU가나,2,unnatural
ynat-v1_train_01745,네이버 아이n 도용 방지26&화,3,unnatural
ynat-v1_train_01751,제조업·ICT 산업분야 AI융합에 초점 맞춘 차별화 전략필요,1,natural
ynat-v1_train_01752,단Z 朴 뇌2> 핵심B퍼즐 나왔다…i성에 최순실 5원-요구,2,unnatural
ynat-v1_train_01762,성적 부진 도르R문9>}OS경질…\임 슈퇴q 선임,1,unnatural
ynat-v1_train_01764,`1테오닉 독일 업체에L!플란트i스템 공3 기본계약,5,unnatural
ynat-v1_train_01768,아시안게임 경기장 잔디 점검한 김학범 중동팀에 유리한...,4,natural
ynat-v1_train_01790,롯데백화점 퍼펙Xb웨딩[행사 진행,0,unnatural
ynat-v1_train_01792,현tuK수 김천웅 한국인h최초로 k스라I E체바무용단 입단,0,unnatural
ynat-v1_train_01795,"군부에 굴복 안 해…수단 야권114N?g파업""예 ",6,unnatural
ynat-v1_train_01803,특징주/ 1폰X 조기t단종설T|부품주 급락종합,5,unnatural
ynat-v1_train_01834,랜섬'어 국l 피해 신고 2건 추가t/ /4건,3,unnatural
ynat-v1_train_01847,게시판 미래부 빅데이터 RD 심포지엄,2,natural
ynat-v1_train_01850,與 _선 rh이 4지작업 기}…내주 의m평가 준R 6수,2,unnatural
ynat-v1_train_01864,캐\다 0z인Z[한주i중 생산성 최고는 화요일,6,unnatural
ynat-v1_train_01866,g신 S_ 사외:사에 권력기관 출신 9사들 K천,5,unnatural
ynat-v1_train_01881,美 독립리그에서 프로야구#.초로x타자가 =루'도루,1,unnatural
ynat-v1_train_01889,미국을 사로잡_ 예지 올여름 단독D}한공연,0,unnatural
ynat-v1_train_01894,국]tb다른S나라도 北핵실험 몰라…美I中k 통t^해,2,unnatural
ynat-v1_train_01904,환영사$하는 문 대x령,2,unnatural
ynat-v1_train_01911,U19 축구대표팀 툴롱컵 1차전에서 프랑스에 14 완패,1,natural
ynat-v1_train_01918,"필리핀에 불법 수출"" g나다산A쓰레I^ 되돌아간다",6,unnatural
ynat-v1_train_01923,OxW美J제$유예 불허에 원유 J목 호르무즈V7 u쇄 경고,6,unnatural
ynat-v1_train_01942,?·[GO갈등 속 프랑스;핵미사일 발사 훈|{이례%U공@,6,unnatural
ynat-v1_train_01951,코스피 상승 출발 후 외국인 매도에 하락…2360선 내줘종합,1,natural
ynat-v1_train_01970,휴일Uz청객y울산{미세(지 주의P 발령,0,unnatural
ynat-v1_train_01977,이통사 M{행] Z속D배상땐 조D·심의 중간& 종결,3,unnatural
