ID,Original Text,Cleaned Text,target
ynat-v1_train_00089,"SHT 내비게s션cTW&/ 국민h,!p yi","##  ""SHT 내비게s션cTW&/ 국민h,!p yi""  에서 추출된 뉴스 제목:

**""내비게이션, 국민 편의 향상""**",3
ynat-v1_train_00090,서울문고 N풍그U에 인수… f라인서점 교m영풍y양강d도로,"## 서울문고, 영풍문고 인수... 라인서점과 양강 체제",0
ynat-v1_train_00091,온*으Q 한방 바Z_를 느끼다…|천~한방D스N D20,"## 온천의 한방, 뜨겁게 느껴보세요 - 천연 온천 'D20'",3
ynat-v1_train_00092,F% 전ZD78개 tn2a매\서 :<[+T 체험pjX ~련,"##  ""전국민 체험 프로그램, 78개 지역 확대""",4
ynat-v1_train_00094,"멀티골 j순형 u로축구 pB그1 1""\운드FXVP","""멀티골로 축구 승리""",1
ynat-v1_train_00096,"LGh UIo]에""구글kO~fNP !T…G+[피커 없,H _용","""구글 피커 없이 사용 가능""",4
ynat-v1_train_00097,종이 ~면 ~어도$삼z중공/ 3Dxp델로 설> s증받는다,"## 3D 모델, 종이로 출력 가능",4
ynat-v1_train_00098,올#%서5외i어s울h증 oIp자Ej역#o m,,4
ynat-v1_train_00103,"D도t ,{2자 ;H대, 교육·j@y목적d<WsU허","## D대, 교육 목적 허용",5
ynat-v1_train_00105,K^한국관광공사X업무y약@체결,"한국관광공사, 업무 협약 체결",3
ynat-v1_train_00107,프랑스 마N}의 이I 대\- G7 ;청설 c인,"## 프랑스, G7 정상회의 참석",6
ynat-v1_train_00108,속(지역 도시 난개발L방C^zcv개정안 발의 놓d B등,"""지역 도시 난개발, 개정안 발의""",3
ynat-v1_train_00109,}독Q멈=선  데L수M원대[면~점·2p 인;도 무산,"##  ""선수 원대회, 무산 위기""",5
ynat-v1_train_00110,y=sc럼*광합성하h f공장W 개발,"##  ""공장 개발, 광합성 활용 연구""",4
ynat-v1_train_00112,"與비박계 내일}""단'당…개혁보수신당E!당추진위 M동","개혁보수신당, '단일당' 추진",2
ynat-v1_train_00113,신간 Z끗 g이`V자cJ법>{코뮤니3트?33,## 신간 'Z끗' 출시,0
ynat-v1_train_00114,땅 파= 코l나 격리시설 탈출한 외국인 청_서 VS,,3
ynat-v1_train_00116,전광인4없어도 한국전L FTV4컵서 현:캐피탈 격파종합,"## 현대캐피탈, 전광인 없이 한국전력 꺾고 FTV컵 승리",1
ynat-v1_train_00120,朴t)령 北Ph각한 균s조짐…i}동요f가LU~Hj종합,"""북한, 균열 조짐…내부 동요""",2
ynat-v1_train_00121,"손경w ,J 회V e즈베fym관% 협력방안 9의","## 손경w ,J 회V e즈베fym관% 협력방안 9의  ->  **손경 회장, 우즈베키스탄 협력 방안 논의**",5
ynat-v1_train_00122,_대통령·시도P]y일e리g언…지`이 고용-R 주역종합,"## 대통령, 지역 경제 활성화 주역",2
ynat-v1_train_00123,"157㎞ 조:우 선동, _독%과Wk께PAG 5전i고>","## 157km 조우, 선동 논란",1
ynat-v1_train_00124,발언하\ 박광E,"## 박광, 발언",2
ynat-v1_train_00125,2자배구}대k팀*코7진 구성 완료…트R}너에 정기혁,2자 배구 팀 코칭진 구성 완료… 트레이너에 정기혁,1
ynat-v1_train_00126,날씨-미z먼지 보통 수y…오후부터 xJ지고:곳곳 F12일,## 오후부터 흐리고 곳곳에 비,0
ynat-v1_train_00127,선두5도X공사*GS칼텍$^K;dhb현Q#i탈7m연승]합,"##  GS칼텍, 7연승 질주... 선두 굳히기",1
ynat-v1_train_00128,수( 이F[I인an고3 수<생N확L 잇I]…교7 당국5.각,"## 수능 확대, 교육 당국 5개년 계획 발표",3
ynat-v1_train_00129,20T9년s제1회 외K인투자~정@협의회,2019년 제1회 외국인 투자 정책 협의회 개최,5
ynat-v1_train_00130,"게$판,QK텔d크_아이폰4O아이U}<TyF매 이벤트","""아이폰 4S 이벤트""",4
ynat-v1_train_00131,모멘트 학교 급식U4칸막이lx곡,"## 학교 급식, 칸막이 설치 논란",3
ynat-v1_train_00132,"올해iEIDFO*상에 멀리 개 짖는 소w가 들""S","## 올해 상, 멀리 개 짖는 소리 들려",0
ynat-v1_train_00133,?씨D m년 h업8 16<K*…h4.8%3,"## 16세 미만 청소년, 4.8% 성장",5
ynat-v1_train_00135,!대+화점 팝 pvhv`V트Y랩 진T,## 대화점 팝업 트랩 진화,0
ynat-v1_train_00136,xW리 a)엔 예비후0V사전여론조사 결과 유출 논c,"""예비 후보 사전 여론조사 결과 유출 논란""",2
ynat-v1_train_00138,삼성 빅스. 개발자데KS1B월 서울B 첫 +최,## 삼성 빅스비 개발자 콘퍼런스 서울 개최,4
ynat-v1_train_00139,떼었S 붙였다 액세서리Y 스마C폰 업U레이드,"## 액세서리 떼었다 붙였다, 스마트폰 업그레이드",4
ynat-v1_train_00141,"알림톡 무단 +송·pRL,5출 $카(*DF징q","알림톡 무단 발송, 과태료 부과",4
ynat-v1_train_00146,# 친박 원내L표Oi보\유Z G단B화J홍문<.8$>도T종합,"## 친박, 원내대표 선거 출마",2
ynat-v1_train_00147,도자기g작품_E상O%{$람객들,"## 도자기 작품, 관람객 열광",0
ynat-v1_train_00149,분당X'k gIdi}X'3·1 야ekK대^)t대립,"""분당 X'k gIdi}X'3·1 야ekK대^)t대립""에서 노이즈를 제거하고 자연스러운 뉴스 제목으로 변환하면 다음과 같습니다.

**분당, X'k와 대립** 

이 제목은 원래 텍스트에서 의미를 유지하면서 노이즈를 제거하고 간결하게 표현했습니다. 

* ""X'k""는 사람 이름이나 조직의 이름으로 추측되며, ""gIdi}X'3·1""과 ""야ekK대^)t""는 노이즈로 판단되어 제거했습니다.
* ""대립""은 원래 텍스트에 있는 단어를 그대로 사용하여 분당과 X'k의 관계를 명확히 드러냈습니다.

이 제목은 뉴스 기사 제목으로 적합한 길이와 명확성을 갖추고 있습니다.",2
ynat-v1_train_00152,김정은 $향gIx x산시 za,"## 김정은, 산시 방문",2
ynat-v1_train_00154,[반기 전}FjQQ 74Q여z…L년보~ 3.1%↓,"""전기 74%↓... 3.1% 하락""",5
ynat-v1_train_00155,S.수협은. 공공주택8</보)금 &보!y8출:,"## 수협, 공공주택 임대료 지원",5
ynat-v1_train_00157,"사법부 판결…불*:6U@Jx~(s }H AI.6f4,X터","""사법부 판결…불확실성 남아""",3
ynat-v1_train_00158,최고V원중9의원@{FU*에U\;x하는6A교안,"최고 의원 9명, 교안 논란",2
ynat-v1_train_00159,中[정u 지방W민0투Ad실태K6L}착5,,6
ynat-v1_train_00161,S9XOC카cO트6온라인 F개강좌 공동 개설,"## S9XOC카cO트6온라인 F개강좌 공동 개설  ->  **온라인 F개강좌, 공동 개설**",3
ynat-v1_train_00163,그C픽)서울9s1l 일강&-H-이,"""서울 일강 이""",0
ynat-v1_train_00168,"(말\N 여행 aiq *#의 q…e을 반3는 ?딧M""<1짝","## 여행 AI, 새로운 시대를 열다",0
ynat-v1_train_00169,e5 >사채 @행V0.9조원…Or대비O55z↑,##  e5 사채 0.9조원 발행…OR 대비 55% 증가,5
ynat-v1_train_00170,1이트삭oY:수 그S달 영입…4년- 7천34K= 달러,"""S달, 4년 734만 달러에 영입""",1
ynat-v1_train_00172,美 미네소타r州H람M장 입구H 2격d 명 부상,미네소타주 람장 입구서 2명 부상,6
ynat-v1_train_00174,"\페이오k중동서"".]Vx국fr동]Cr구…이란B고. 강L종Q","## 이란, 중동서 강력한 지진 발생",6
ynat-v1_train_00177,명! 옮p 는 즐Y움…필사 3문.지 문u^q간,"## 명언 옮기는 즐거움, 필사 3문장으로",0
ynat-v1_train_00178,한sS3 파Sr사]&동반성장 협X식,"""한화S&C, 동반성장 협력식 개최""",5
ynat-v1_train_00179,한국>Q/아/1i3명N키 m일본r의Q이+기…연극H={,한국과 일본의 연극 교류,0
ynat-v1_train_00180,LGR 러0 타사 고객d대상Wg럭시S8 =험단Mu~,"LG, 타사 고객 대상 갤럭시S8 프로모션 진행",4
ynat-v1_train_00181,사T인터l7신G Y v3투n해 미래 먹거리>o\x,"##  인공지능, 미래 먹거리 투자 유망 분야로 떠올라",4
ynat-v1_train_00184,프로농구 !울 SK 일` 교체 선수w L리엄스 영O,"SK, 리암스 영입으로 전력 강화",1
ynat-v1_train_00187,반기문m유p{e 관저에>리2창 부부 초대 만찬…2년전|약속지켜,"""반기문, 이창 부부 초대 만찬…2년 전 약속 지켜""",6
ynat-v1_train_00188,"새누리 원내대표 CL 화|는,여소야대·계파","새누리 원내대표, 여소야대 속 계파 갈등 겪어",2
ynat-v1_train_00190,등[ 수BO확!%앞2 =aSO경,"""등수 확보 앞장선다""",3
ynat-v1_train_00192,SPT뚝 떨어0`;Dt4출w&zP에+ ?s도 I6으로 {라,"##  ""SPT뚝 떨어0`;Dt4출w&zP에+ ?s도 I6으로 {라""  ->  **SPT 급락, 4% 하락**",0
ynat-v1_train_00196,UC; 8강T대\ 발0…}알92i리@뮌헨 맞|d,"##  UCL 8강, 뮌헨 상대",1
ynat-v1_train_00197,남$정w회l .c 준비가 생명W남북_리허설 또 리허설,,2
ynat-v1_train_00200,"갤t=7 O3E부터 :C까q 환불8q)Bw만원 N,도","""갤럭시 S23, 7만원 할인""",4
ynat-v1_train_00202,~B0mlc나^y^*6면 속 )04C Y스3시청률$상승,"""B0mlc나^y^*6면 속 )04C Y스3시청률$상승"" 이라는 텍스트에서 의미를 유지하고 노이즈를 제거하면 다음과 같이 변환할 수 있습니다.

**""Y스 시청률 상승""** 

이 변환은 다음과 같은 과정을 거쳤습니다.

1. **의미 없는 문자 제거:**  ""~B0mlc나^y^*6면 속 )04C"" 부분은 의미를 전달하지 못하므로 제거했습니다.
2. **숫자 제거:** ""3""은 숫자로, 뉴스 제목에서는 일반적으로 사용하지 않으므로 제거했습니다.
3. **특수 문자 제거:** ""$""는 특수 문자로, 뉴스 제목에서 사용하지 않으므로 제거했습니다.
4. **띄어쓰기 조정:** ""Y스""와 ""시청률"" 사이에 띄어쓰기를 추가하여 가독성을 높였습니다.

이렇게 변환된 ""Y스 시청률 상승""은 간결하고 자연스러운 뉴스 제목 형식을 갖추게 되었습니다.",3
ynat-v1_train_00203,j우증권 오리X 중D 성장둔s…목표가↓,"## 주식 시장 성장 둔화, 목표가 하락",5
ynat-v1_train_00204,_ui y립n공- R손B독{유z자 집 명패@Y는다,"## ""집 명패, 누구의 것일까?""",3
ynat-v1_train_00206,이kDr|크>G리아 친이T0시설 >격 u]라J에 경/,"##  ""이탈리아 친환경 시설, 격렬한 논쟁에 휩싸여""",6
ynat-v1_train_00209,"與m몽니·N/w두<Uc 선P) mfk트By동참 (P당 압,","##  ""몽니, 'N/w 두 선P' 캠페인 동참""",2
ynat-v1_train_00210,인EN-진군 오전 E1rq=0RdY|주<보 해K,"""인천 진군 오전 주요 해역""",0
ynat-v1_train_00214,$은 문y적 +양 풍T했cGe맹Gl이qM q문 행\hL,"## 텍스트에서 노이즈 제거 및 뉴스 제목 변환:

**원본 텍스트:** ""$은 문y적 +양 풍T했cGe맹Gl이qM q문 행\hL""

**노이즈 제거 및 변환:**

**""문제적 양상 풍토, 맹렬히 비판""** 

**설명:**

* ""$""와 같은 특수 문자, 오타(""y적"", ""T했cGe맹Gl이qM"", ""행\hL"")를 제거했습니다.
* ""문제적""과 ""양상""을 이어 ""문제적 양상""으로 자연스럽게 연결했습니다.
* ""풍토""와 ""맹렬히 비판""을 연결하여 뉴스 제목처럼 간결하고 명확하게 표현했습니다.",3
ynat-v1_train_00215,"폭""a!4 야o0 보러 x려든z시민xM+종*화I관6전시 인기",전시 인기 폭발!,0
ynat-v1_train_00216,"k@ w고지;~ 반정,시/에 美X사주한 1)","""美, 한국에 사주한 듯""",6
ynat-v1_train_00217,+A0 선<0장 남자 배(+올2?~출전 충6히 가능하p,"## 남자 배구, 올림픽 출전 가능성 높아",1
ynat-v1_train_00218,MLB닷컴K개막'W스~ 1{2cu은'`·류현진,"류현진, MLB 개막전 승리",1
ynat-v1_train_00219,여ZblZ27\부blr드# 3라운F%#h·브라질f미&과 대t,브라질과의 3라운드 경기,1
ynat-v1_train_00221,"경kLe6개 시dy_오""||0시 대설주의보Y해;","##  경기 지역, 오늘 밤 대설 주의보",0
ynat-v1_train_00225,1:)점 박철ey7Rf< 크게 O더니 온몸에 쥐났어요,"점 박철, 크게 웃다가 온몸에 쥐났다",1
ynat-v1_train_00228,"미v{로/#사, A2 Y앤-…상f화 돌입","## 미사, A2 Y앤 상화 돌입",4
ynat-v1_train_00231,w드}.쉽게d열리지 J는 멕|Wf골문,,1
ynat-v1_train_00233,w4하U]트 아이폰 n1X7.예약vP5,##  화이트 아이폰 예약 시작,4
ynat-v1_train_00236,-J길5~조E 파[ 외치U ~ 번R {당X승부d,"##  ""J길5~조E 파[ 외치U ~ 번R {당X승부d""  에서 추출된 뉴스 제목:

**""파이널 승부 외쳐, 조 단위 승부!""**",3
ynat-v1_train_00237,출마금cyj슈9웡 홍'!.t(!%원하면 투표해t,## 출마하면 투표해 주세요!,6
ynat-v1_train_00238,문.ap령UK임;유y! 헌k1tBP 7k`판:들과 $께,문제는 영국 판매들과 함께,2
ynat-v1_train_00239,최E희lSKT7J헬4비전 w병 &사 S/보다 S연종합,"SKT, 새로운 비전 발표: 병원과의 협력 강화",5
ynat-v1_train_00241,?0 V3 모바일 시큐리티 :50k T]로드 돌파,"V3 모바일 보안, 5만 건의 악성코드 차단",4
ynat-v1_train_00243,"~:자베스 여,+정치권에fS4/트 타협 촉구","""자베스, 정치권에 타협 촉구""",6
ynat-v1_train_00244,UAG|'전 =기-맞먹c 사K E양)i;전소 /lco,"""전기차, 사상 최초로 양산""",6
ynat-v1_train_00246,"印공? 파키스탄 내 w$ P@ +o…,등 K고조종합",## 파키스탄 내 고조되는 긴장,6
ynat-v1_train_00247,m시판 코.아 Vvg페ogt,"""코아 V 페 ogt""에서 의미를 유지하면서 노이즈를 제거하고 자연스럽고 뉴스 제목처럼 간결하게 변환하면 다음과 같습니다.

**""코아 V 출시""** 

이렇게 변환하면, 원래 문장에서 의미를 유지하면서 불필요한 노이즈를 제거하고 간결하고 뉴스 제목처럼 자연스러운 문장이 되었습니다.",4
ynat-v1_train_00249,朴대통령(I후방테러N대비위해 E러방지법 ~;Yy,"""朴대통령, 러방지법 추진""",2
ynat-v1_train_00250,민주I성사 앞f2북미정-회담에 M색h야당K 힘 %~야,"## 민주당, 북미정상회담에 '색깔론' 공세 펼쳐",2
ynat-v1_train_00256,게+판 Bt{ `m:TV 앱@핑크퐁 튜q 출시,"핑크퐁, TV 앱 출시",4
ynat-v1_train_00257,q직언론인·조[족·장애인…시< 폭 ;히는 시인%,,3
ynat-v1_train_00258,초등학생들 경북도청 |들`,"## 초등학생들, 경북도청 방문",3
ynat-v1_train_00261,與a;7위·혁신k 출?#75…M박 r발 작용한I(,"## 혁신, M박과의 시너지 창출",2
ynat-v1_train_00264,대우?선해양 4천199억원bxC LNG 운}선 2척n수주,"대우조선해양, LNG 운반선 2척 수주 (4,199억원)",3
ynat-v1_train_00266,",말 N 여h #주권 인류무형문화유산 해)%화를 _나다…4.4㎞ 0비]0Z","## 인류무형문화유산, 주권과 함께 지켜나가야",0
ynat-v1_train_00268,그I픽 Y-57E{E리 결함,"""Y-57E 리콜 결정""",4
ynat-v1_train_00274,韓 물가 7c 초미세먼지-세계 최M…관Zugq 걸림돌,"## 한국 물가 상승, 미세먼지 문제 악화... 경제 성장 걸림돌",3
ynat-v1_train_00276,5< 황0연휴&해5 APl박 이용권*드려x,"## 황금연휴, API 박 이용권 드려요!",0
ynat-v1_train_00278,"M0 AI wth0 선/=인k6능 분""2'e천C원 투+종합","## AI, 2천억원 투자로 종합능력 강화",4
ynat-v1_train_00280,"w대통령 호W,J거소@방문…호 주석 본F으k 부패 없어CN것",,2
ynat-v1_train_00284,"연천 영하 %9.1도…경d북T""오후부_V강F위 풀려","연천, 영하 9.1도…경북 오후부터 기온 오른다",0
ynat-v1_train_00287,>기소식8부{+ 내0 6j8일 Jm도 %`7화재 대8제,"## 8일 화재, 대형 피해",0
ynat-v1_train_00290,t말 Nx여행 제주Do취향:vua나자…M대야 날릴4#색 계곡·[다 축제,제주도 취향 저격 여행: 색다른 계곡 축제,0
ynat-v1_train_00291,)징1Q코데i컴바c]다L *스닥dM총.3Ed종+,"코드 컴바인, 스닥 총 3억 달성",5
ynat-v1_train_00296,"송\섭 } W회F< ?,…전국구 *원만qB선","""전국구 원만 선""",2
ynat-v1_train_00297,p + #동당대회 :시하면서 만약의z상황 대k,"## 동당대회, 만약의 상황 대비",2
ynat-v1_train_00298,리J에겐 인격적 소S~력 중요…P과만중KA독불`군형은 NO,,0
ynat-v1_train_00299,"푸4 살만i사우디""Q왕과eo=…^유시< >조 지속 합의종합","## 푸 살만 사우디 왕, 조 바이든 대통령과 지속적인 협력 합의",6
ynat-v1_train_00303,"아랍권 반D란""정상회의 5춰 (\s& 이란 맹9종합","아랍권 정상회의, 이란 참석",6
ynat-v1_train_00305,"답,한='빛 하t…경기9 초미세5지 주E5 2'0으@Hd대","""빛, 초미세먼지 경기 20위""",0
ynat-v1_train_00307,광)4북구U취a계j X#나>,"## 북구, 취업 계약 체결",3
ynat-v1_train_00313,공사기간·비용\1xxb >…n</$M크l EJ사업c주k,"## 공사 기간 및 비용, EJ 사업 추진 핵심 변수",5
ynat-v1_train_00317,탈북 도와t;한국계f영b7#-왕s 국가공:훈장 o아,"탈북 도운 한국계 여성, 국가공훈장 수여",6
ynat-v1_train_00320,등단 30년 장X남tP인 W가r나\ 지?줬죠,"## 30년 연기 인생, 배우 W, 은퇴 선언?",0
ynat-v1_train_00323,청+율X1G1김어준_뉴(공장 청취^-tl는{P찌,"## 김어준, 청와대 공장 청취 논란",3
ynat-v1_train_00324,프hN구hi 해체 위' k산 어)선한YJ위Qk=승B로 tM,"## 프랑구 해체 위기, 산업 선행 지표 악화",1
ynat-v1_train_00325,그T픽 T택vcK가7?현실화율3세C 산V식,"## ""픽셀 택틱, 현실화율 3세대 산업""",5
ynat-v1_train_00327,3일<R연} 의원들과[[9r는 [S연 +g,3일 의원들과 회의,2
ynat-v1_train_00329,"w김정""3평양& 제2` l래과학자거리 K설 지시","## 김정은, 평양 과학자거리 건설 지시",2
ynat-v1_train_00335,q승하러 왔죠…전광인?우승 한 풀% U%P$지,"""전광인, 우승 꿈 이루다""",1
ynat-v1_train_00339,'용등급 낮은 소상z인에 연q69k 대출 M 터:다,"## 용등급 낮은 소상공인, 대출 어려움 겪어",5
ynat-v1_train_00340,"^B*미3먼지…qK,IG이터 물_o","## 미세먼지, 기온 급상승",0
ynat-v1_train_00341,"융커,|u장 8국Rj질서w는Y-U&탈& P우 낙관C지는 않아","## 융커, 8국 질서 낙관적이지 않아",6
ynat-v1_train_00345,]광공사 페루 여0자J무장T도 R의해Y,,0
ynat-v1_train_00347,|T디Kk차a전 발발 당일*유대인에 평N'원 손편지,,6
ynat-v1_train_00348,- 2카9i배당 문 다시 1gR…라MV T.dA테5 B포,"## 2기 배당, 다시 논의 테이블에 오른다",6
ynat-v1_train_00350,NxA 휴g턴_3<rWr50점B~레이오~ tR 진출01승&ZT다,"## NXA 휴스턴, 레이커스 상대로 1승",1
ynat-v1_train_00351,h신당 *#호)친노 지역구에l특별)천…전면전 선포,"## 친노 지역구, 특별전면전 선포",2
ynat-v1_train_00354,v움m권m올F 면1B 시n JC%c이상 K장6가I*,"""면1B 이상 접종 완료""",5
ynat-v1_train_00356,조코위w김정J (FK여|%석3fqn민Z보D 사$K 내v#,"조코위, 김정은 만남 성사?",3
ynat-v1_train_00358,(란@P럽 @Ra 2돌리면dZ대jU맞대응,"## 랜딩 확률 2배 상승, 맞대응 준비",6
ynat-v1_train_00362,"프74구 롯데 ""상문,S독 2b"" 사직구장( UO`","롯데, 사직서 2루타 터뜨려",1
ynat-v1_train_00364,"h시9게` 김-범호 6""상대Jxn기:L탄a바B인if2BX:","김범호, 6번 타석 상대 투수에게 안타",1
ynat-v1_train_00367,사람 닮아가는  kf의Z손dL…이t아 나무의e 조(1I공,"## AI, 나무처럼 생각하는 능력 개발?",4
ynat-v1_train_00368,삼성o7K하R닉`!1분기w도 반<Z T#E순항할iu,"삼성전자, 1분기 순항 예상",5
ynat-v1_train_00369,N&v엔터''이코 가입/ 43*']…제휴 H대할 >,"""N&v엔터, H대와 제휴""",4
ynat-v1_train_00370,한9%^6주택브랜드 공작소 론칭,## 한 주택 브랜드 공작소 론칭,3
ynat-v1_train_00376,서n?:h구팀btk재 YG핀 상용ol;술 세Uo최초 X~,"YG, 상용 술 세금 최초로 인상",4
ynat-v1_train_00378,중A 5_RF국회GQ들v6핵 규탄 공7b명서 채-,"핵 규탄, 국회의원 70만 명 서명 촉구",2
ynat-v1_train_00379,이1서 h국 강조~%민=C 캐}다서^P정T_U의혹 3[ 비판,"""한국 정부 의혹 제기, 비판 쏟아져""",6
ynat-v1_train_00381,靑 어6]결정하든 ?yzYHE해서 T정. 사안은^수용,## 결정은 수용,2
ynat-v1_train_00385,K4O 내년 1월f서울S대%에서 기'강습회,"## K4O, 내년 1월 서울대에서 강습회 개최",1
ynat-v1_train_00386,거x소7RZZ엔지n어링 I#부2중{기업부e`j경,## 엔지니어링 기업 부문 성장,3
