ID,text,target,cleaned_target
ynat-v1_train_00273,위안부 피해자 그림 선생님이 전하는 이야기,6,0
ynat-v1_train_00274,"한국, 물가 상승과 미세먼지 문제로 어려움 겪어",3,6
ynat-v1_train_00277,"NHN엔터, 2분기 영업익 50% 증가",3,5
ynat-v1_train_00281,춘천 MBC 나이야가라 한국방송대상 작품상 수상,6,3
ynat-v1_train_00282,콘테 첼시 감독 캉테 AS로마전 출전여부 본인이 결정할 것,4,1
ynat-v1_train_00283,부산국제코미디페스티벌에 참여합니다,3,0
ynat-v1_train_00289,이인제 충청을 젊은 희망의 땅으로 만들것 충남지사 출마 선언,4,1
ynat-v1_train_00294,스페인 11회 연속 월드컵 본선 진출…이탈리아 PO행종합,6,1
ynat-v1_train_00295,유럽 최악 한파에 난민들 피해속출…폐렴·저체온증 극심,1,0
ynat-v1_train_00302,문대통령 미중러 협력·아세안 동행…비핵화 동력 보전했다,2,0
ynat-v1_train_00304,평양정상회담 남북 정상 오찬장도 함께,5,0
ynat-v1_train_00309,민주 광역단체장 후보 면접…지방선거 당내 경쟁 개막,1,2
ynat-v1_train_00310,SK텔레콤 충청 지역 폭우피해 통신망 복구,3,4
ynat-v1_train_00311,경제 윤종원 일자리 정태호 靑수석 교체…민생·고용 드라이브종합2보,0,2
ynat-v1_train_00312,朴대통령 한불 비즈니스포럼·K콘 참석…파리서 경제·문화외교,0,2
ynat-v1_train_00314,외국인에게 말만 하세요 한컴 이어폰형 통역기 MWC서 첫선,1,4
ynat-v1_train_00315,이라크 프랑스인 IS 조직원 가차없이 사형선고,1,6
ynat-v1_train_00316,아힘 프라이어가 소개하는 반지 4부작,3,0
ynat-v1_train_00317,"탈북자, 한국계 국가공훈장 수여",6,3
ynat-v1_train_00318,프로농구 인삼공사 컬페퍼 햄스트링 부상…교체할 듯,5,4
ynat-v1_train_00319,김현미 전월세상한제 신규 계약 적용 고려할 점 많아 신중론,6,2
ynat-v1_train_00321,靑 추미애 긴급회동 제안에 정해진 바 없다,0,2
ynat-v1_train_00324,"프로젝트 해체 위기, 선한 영향력으로 승부",1,0
ynat-v1_train_00326,지구 임계온도 1.5도 목표 촉구 1인 시위,6,4
ynat-v1_train_00328,버려진 튜브로 만든 설치미술,5,0
ynat-v1_train_00333,무선 장비로 침입자 막는다… KT텔레캅 새 보안 서비스종합,6,4
ynat-v1_train_00336,닷새째 경찰에 포위된 홍콩 이공대,4,6
ynat-v1_train_00337,與 대구·경북 공천면접심사…현역 vs 진박 격돌,3,2
ynat-v1_train_00342,모범장서가에 2만4천91권 소장한 이종근씨 등,4,3
ynat-v1_train_00344,우리금융硏 대중부유층 10명중 4명 노후준비 부족하다고 생각,1,3
ynat-v1_train_00346,긴급재난지원금 중 기부금은 2천782억원…지급액의 2%,2,3
ynat-v1_train_00352,프로농구 MVP 후보 두경민 많은 것을 배운 시즌,3,1
ynat-v1_train_00354,면1B 이상 장6가,5,0
ynat-v1_train_00355,이달의 편집상에 매일신문 공부까지 거리두면… 등 4편,2,0
ynat-v1_train_00356,"조코위, 김정은 만남 성사?",3,6
ynat-v1_train_00357,주말 N 여행 강원권 남한강축제서 무더위 날리자…속초는 피서철 이벤트,1,5
ynat-v1_train_00358,랜딩 페이지 2돌리면 대응 맞춰야,6,4
ynat-v1_train_00359,홍영표 홍문종·염동열 체포동의안 부결에 사과·책임통감,4,2
ynat-v1_train_00363,KAIST 온도따라 변하는 스마트 입자 개발,0,4
ynat-v1_train_00365,지각 입장한 남북 선수단 그 사연은,3,1
ynat-v1_train_00366,스마트폰에 신용카드 대면 삑 새 본인 인증 나온다,6,4
ynat-v1_train_00369,"N&v엔터, H대와 제휴",4,3
ynat-v1_train_00370,한9%^6주택브랜드 공작소 론칭,3,0
ynat-v1_train_00371,고침 체육신인 1순위 펄츠 복귀…필라델피아,0,1
ynat-v1_train_00372,영상 최강 한파 패딩·목도리 중무장…전국 강추위에 꽁꽁,2,0
ynat-v1_train_00373,120개 언어 인도 힌디어 국어 지정 놓고 찬반 논란,0,3
ynat-v1_train_00374,터키군 시리아 진격…에르도안 평화의 샘 작전 개시 선언종합,5,6
ynat-v1_train_00375,충북 한여름 무더위…날씨는 맑음,5,4
ynat-v1_train_00377,SKT 부산 엑스포서 해양안전 통신기술 시연,1,6
ynat-v1_train_00380,러시아 시리아서 S500 발사했나…러 국방부는 부인,5,6
ynat-v1_train_00382,朴대통령 국회연설 북한 54회·핵 23회…대화는 제로종합,5,2
ynat-v1_train_00383,석촌동 고분군 발굴 조사 설명회,2,3
ynat-v1_train_00385,"K4O, 내년 1월 서울대서 강습회 개최",1,4
ynat-v1_train_00386,엔지니어링 기업 부문 경쟁 심화,3,5
ynat-v1_train_00387,코리아둘레길 남해안길 남파랑길로 불러주세요,2,0
ynat-v1_train_00388,KGC인삼공사 이적생 트리오 알토란 활약…성공신화 예고,0,1
ynat-v1_train_00390,홍콩 갑부 리카싱 올해 세계경제 복잡할 것…모두 조심해야,4,5
ynat-v1_train_00392,에어트리아 시범행,6,3
ynat-v1_train_00394,군 순찰 강화,6,3
ynat-v1_train_00395,철도역 매표·상담·역무 담당 코레일네트웍스 노조 파업,6,3
ynat-v1_train_00402,KT 수자원·국토정보공사와 데이터 중심 스마트시티 협력,0,4
ynat-v1_train_00405,"현업 노하우, AB 테스트로 방구석 기업 견인",3,4
ynat-v1_train_00406,슬로바키아 언론인 피살 후폭풍…이번엔 판사 사임,1,6
ynat-v1_train_00407,상장·신작 대박 겹경사에 넷마블 첫 깜짝 보너스,4,5
ynat-v1_train_00408,광주교육청 9급 지방공무원 73명 공개 채용,0,3
ynat-v1_train_00409,완벽 수비 두산 롯데 완파하고 60승 고지 선착,4,1
ynat-v1_train_00414,이해찬 대표 취임 축하 난 앞에 놓고 인사말,5,0
ynat-v1_train_00415,국토부 차관 지방 미분양이 문제 매수자 입장에선 좋을 수도종합,1,0
ynat-v1_train_00419,유엔총장 시리아 휴전 환영…유효한 해법은 긴 여정,5,6
ynat-v1_train_00420,이해찬 철도 공동조사 내주 시작…남북관계 큰 변화,4,2
ynat-v1_train_00422,코아로직 수원지법에 회생절차 종결 신청,6,0
ynat-v1_train_00424,경제자유구역 지지부진 개발지연·국내기업 역차별 탓,4,5
ynat-v1_train_00426,전북 주요 대학들 등록금 동결…학부모 부담 덜겠다,1,5
ynat-v1_train_00427,금융시장 충격 일단 소강국면…주가 낙폭 줄고 환율도 하락,2,5
ynat-v1_train_00435,이란 원자력청장 포르도서 우라늄 농축 농도 5%까지 올릴 것,0,6
ynat-v1_train_00437,이집트서 성폭행하려 한 남성 살해 15세 소녀 처벌 논란,0,6
ynat-v1_train_00438,톈안먼 진압 당시 中장교 공개 참회…6·4 기억해야,5,6
ynat-v1_train_00442,그래픽 한국은행 지난해 순이익 16년 만에 최대,3,5
ynat-v1_train_00452,"전북, 최저 영하 7.8도…2~5cm 눈",4,6
ynat-v1_train_00453,英장관 e명7공개 반기…브렉시트 8의 없)면 연기I지지,6,3
ynat-v1_train_00457,인천 공립유치원 교사 87% 근무 중 질병 얻어,1,3
ynat-v1_train_00458,전 가족과 함께 비행기를 탔다,0,6
ynat-v1_train_00460,"캘리포니아 산불, 주민 대피령",3,6
ynat-v1_train_00463,KT 기가지니 내일부터 AI 금융서비스도 척척종합,3,4
ynat-v1_train_00467,"SKT, 유콘시스템과 5G 드론 ICT 솔루션 개발 협력",0,4
ynat-v1_train_00469,튀니지서 아랍연맹 정상회의…트럼프 골란고원 선언 비판,0,6
ynat-v1_train_00478,하루평균 수출 감소폭 전월보다 줄어…향후 예단 쉽지 않아,1,5
ynat-v1_train_00487,홍콩 시위에 원격조종 사제폭탄 등장…경찰 테러리스트와 비슷,3,6
ynat-v1_train_00491,"11월 주식 발행액 60% 급증, IPO·유상증자 활발",4,5
ynat-v1_train_00492,월미도 새 모노레일 내년 추석엔 달릴 수 있을까,2,0
ynat-v1_train_00503,"김우조 부총리, 섬진강댐 방문",3,2
ynat-v1_train_00504,UAE 단교 20개월만에 카타르 왕래 화물선 허용,4,6
ynat-v1_train_00507,朴대통령 에어포스원 탄 오바마와 15분간 북핵대응 긴급통화,0,2
ynat-v1_train_00508,이적설에 휘말렸던 이근호 울산이라 마음 갔던 게 사실,6,1
ynat-v1_train_00519,서울 초등학생 새학기부터 구강검진 결과 스마트폰으로 확인,1,3
ynat-v1_train_00520,"콘텐츠 제한, 통신업계 위기",4,5
ynat-v1_train_00523,"LG G6, 갤럭시 S8 제치고 영상 1위",5,4
ynat-v1_train_00534,국토h 공동주택 관리 n우수0지에M서울 텐r힐 1단지,5,0
ynat-v1_train_00540,LG G6 예약판매 개시…액정 무상 수리 등 45만원 혜택,1,2
ynat-v1_train_00541,"국문협, 안순·육박 예상",0,2
ynat-v1_train_00544,美금융사 가상화폐 경계령…비자 CEO 거래처리 안할 것,4,5
ynat-v1_train_00569,국회 외통위 한미 방위비분담금 협정 비준동의안 처리,0,2
ynat-v1_train_00572,"특검, 이화여대 및 관계자 사무실 압수수색",3,2
ynat-v1_train_00573,LG전자 실속형 스마트폰 2018년형 K 시리즈 공개,1,4
ynat-v1_train_00576,바흐 모테트 전곡 연주·박유신김현정 듀오 공연,4,0
ynat-v1_train_00577,그래픽 작년 주식 1인당 보유종목수 4.27개,3,5
ynat-v1_train_00582,"UEFA, PSG FFP 위반 조사 착수",0,4
ynat-v1_train_00584,대선출마 앞둔 바이든의 나쁜손 또 폭로…코 비비려고 했다,3,1
ynat-v1_train_00594,중국인 래퍼 인터넷 생방송 중 손가락 자해 행동 논란,5,0
ynat-v1_train_00598,中 가상화폐 업자들 전기 싼 이란에 원정채굴 요청,1,6
ynat-v1_train_00599,스웨덴 여자축구대표팀 유니폼 문구로 여성인권 캠페인,4,0
ynat-v1_train_00602,"LA총영사관, UCLA·USC 한인학생회와 취업 정보 공유",6,3
ynat-v1_train_00603,주춤한 동장군 다시 찾아와…강원 일부 지역 한파주의보,4,0
ynat-v1_train_00607,SK텔레콤 트리페이 태국 서비스 개시,0,5
ynat-v1_train_00610,아프거나 월급 못 받으면 Y축은행q)R 상$d예,5,3
ynat-v1_train_00616,MLB 도쿄 개막전에 사사키조지마 배터리 시구,4,1
ynat-v1_train_00619,이라크 군경 반정부 시위대에 또 발포,5,6
ynat-v1_train_00629,잭슨 MLB 14번째 유니폼 입었다…역대 최다 기록 눈앞,4,1
ynat-v1_train_00630,베스트셀러 언어의 온도 출간 7개월 만에 1위 올라,4,0
ynat-v1_train_00632,"북한 마라톤 선수단, 올림픽 참가 자격 획득",2,1
ynat-v1_train_00633,B2 출판 경영 마케팅 클래스,3,0
ynat-v1_train_00634,근로자휴가지원사업 참여 100명 강릉컬링센터·바다부채길 관광,1,3
ynat-v1_train_00635,"소년, 9천만원 기부",1,3
ynat-v1_train_00636,"봄 맞이 MT, 홍영씨와 함께",2,0
ynat-v1_train_00637,北 무수단 미사일 발사준비…軍 도발 대비 감시강화종합,1,2
ynat-v1_train_00640,KBS 방송작가 집필 표준계약서 도입·시행,5,3
ynat-v1_train_00642,"한강서 30대 실종, 경찰 수색 중",0,3
ynat-v1_train_00644,특징주 SK바이오랜드 줄기세포 아토피 치료제 사업 진출에 강세,0,5
ynat-v1_train_00645,이스라엘 이미 숨진 팔레스타인인 총격 용의자 집까지 파괴,0,6
ynat-v1_train_00646,스템반도체 설비 투자 확대,4,5
ynat-v1_train_00652,SK ES 파주에너지서비스 지분 매각 절차 진행,2,5
ynat-v1_train_00657,"애플, iOS 11 통해 증강현실 본격화",0,4
ynat-v1_train_00660,아스널 스토크시티에 41 대승…4위 리버풀에 승점 1,2,1
ynat-v1_train_00662,프로축구는 한가위에도 격한 순위 싸움…하위스플릿 탈출,5,1
ynat-v1_train_00665,"33교전, 클린 목표 리 크 행동은 안",6,1
ynat-v1_train_00669,예스24 우리가 사랑한 24인의 작가들 부산서 전시,4,0
ynat-v1_train_00673,文대통령 北목선 경계못하고 국민께 제대로 못알려…철저 점검종합,0,2
ynat-v1_train_00675,"P2P 거래, 새로운 혁신의 물결",1,4
ynat-v1_train_00676,정정불안 코모로서 총격 사상자 발생…美 정부요원 철수명령,2,6
ynat-v1_train_00677,여자농구 신한은행 팀 최소 득점 기록 34점 불명예,3,1
ynat-v1_train_00681,세기의 대국 알파고 아버지 허사비스는 왜 바둑에 매료됐나,2,0
ynat-v1_train_00686,"넥슨 게;/버}진 개발사 아이펀팩`리에 전""적 투자",4,5
ynat-v1_train_00687,윤종규 KB금융 회장 7개월 만에 자사주 2천주 매입,1,5
ynat-v1_train_00689,카톡방 URL 검색 노출 개인정보법 위반 소지 약해,5,4
ynat-v1_train_00695,"디인증서 유출 이후, LOO 넘어 추세 급감",3,5
ynat-v1_train_00699,러 우주 공간에 요격미사일 시스템 배치 말라 美에 경고,1,6
ynat-v1_train_00700,세계에서 가장 많이 팔리는 스마트폰은?,5,4
ynat-v1_train_00702,비자나무는 모기퇴치제…옛 문헌 속 생물활용서 발간,2,0
ynat-v1_train_00706,"전몰자 추모, 9월에 열려",1,0
ynat-v1_train_00708,필리핀 토지은행·리잘상업은행 한진중공업 주식 취득,3,5
ynat-v1_train_00712,초신성 폭발 3시간 만에 관측…최단기록,5,6
ynat-v1_train_00716,이라크 반정부 시위 사망자 40여명으로 늘어종합,1,6
ynat-v1_train_00717,"기중기, 세계 최고 용량으로",0,4
ynat-v1_train_00718,네이버 자율주행차 핵심센서 개발 이스라엘 기업에 투자,5,4
ynat-v1_train_00722,1억 5천만원 현금 걸린 제보,6,3
ynat-v1_train_00725,대북특사단 오전 9시 평양 안착…10시부터 회담 중2보,3,2
ynat-v1_train_00728,5G 기반 자율주행차 개발…SK텔레콤·인텔 협약,5,4
ynat-v1_train_00729,"32L 중국인, 39명 사망 영향",3,6
ynat-v1_train_00731,재벌닷컴 재벌 총수 자택 공시가격 34% 상승,4,5
ynat-v1_train_00734,장미의 이름 새 옷 입히니 젊은 독자 호응,3,0
ynat-v1_train_00737,北 외화벌이 기관들 무역허가권 확보 경쟁 RFA,2,6
ynat-v1_train_00745,"서울 표준주택 공시가 17.75% 상승, 15억 초과 고가주택 집중 조사",4,5
ynat-v1_train_00746,KT연세대 5G 상용망 기반 연구 플랫폼 출범,6,4
ynat-v1_train_00754,미 대북정책 이란과 달랐다…전략적 인내가 핵실험 묵인,5,2
ynat-v1_train_00755,"야구, LGU+에서 더 생생하게 즐기세요!",1,4
ynat-v1_train_00757,"박스피에 길, 5큐a_ 새 길 개척",4,0
ynat-v1_train_00763,헌장 서명,2,0
ynat-v1_train_00764,내일날씨 새해 첫날 전국 가끔 구름 많음…아침 기온 영하 10도,4,0
ynat-v1_train_00767,"밤의 배경, 최대 9배 증가",3,4
ynat-v1_train_00769,"원스토어, 앱 유통 수수료 5%로 인하",0,3
ynat-v1_train_00776,민주 평창올림픽 성공 개최 총력전…색깔론 한국당 맹공,6,2
ynat-v1_train_00783,"북미 애니메이션 시장, 치열한 경쟁 펼쳐",6,5
ynat-v1_train_00786,"현대모비스, 대성과 협력 강화",1,5
ynat-v1_train_00790,극적 역전승 김종민 감독 한 세트만 따면 반전 오리라...,6,1
ynat-v1_train_00792,대법 영원무역 비판기사 한겨레 정정보도·손배 책임없다,2,6
ynat-v1_train_00793,책 읽는 여성의 흑역사 전혜린을 위한 변명,6,0
ynat-v1_train_00797,"한국, 독도 수호 의지를 재확인",2,6
ynat-v1_train_00798,KT삼성전자퀄컴 국제표준 기반 5G 데이터 통신 성공,3,4
ynat-v1_train_00800,세월호 참사 KBS·MBC 책임자 공개,3,2
ynat-v1_train_00816,스피커 전환,5,0
ynat-v1_train_00821,"19H 위기, 대타협 나올까… 수령 종합",3,1
ynat-v1_train_00830,"8개국 경제 복판, 日에도 영향",6,5
ynat-v1_train_00832,최지만 보스턴전 6호 솔로포 포함 멀티히트종합,5,1
ynat-v1_train_00833,사사구 s개Y남발한 브리검 김+성 호@비 t분에 Qj,1,0
ynat-v1_train_00836,무인 자동차 개발에 100억 투자,4,5
ynat-v1_train_00843,경찰 두산 이영하에 승부조작 제의한 브로커 수사 착수,2,1
ynat-v1_train_00852,"서울 옥션, 블록체인 기술 도입",0,4
ynat-v1_train_00860,"애플, KT서 2루타 3루타 연속! 대박",5,1
ynat-v1_train_00863,박건우 삭발은 인제 그만 올해는 초반부터 잘할 겁니다,3,0
ynat-v1_train_00868,북적이는 송악산 선착장,5,0
ynat-v1_train_00870,여자배구 1순위 디우프 인삼공사 순위 끌어올리겠다,4,1
ynat-v1_train_00875,S고 W고 기장 비 세운,4,0
ynat-v1_train_00882,국립현대미술관 미술과 민주주의 화두로 국제심포지엄,3,0
ynat-v1_train_00884,안전 위협하는 어린이보호구역 후진 차량,6,3
ynat-v1_train_00886,치안불안 아프리카 말리 새 총리에 시세 전 재무장관,0,6
ynat-v1_train_00895,그6픽 아파트 매d가격지수 변r률,5,0
ynat-v1_train_00896,"KTE, 급격한 매출 증가",0,5
ynat-v1_train_00897,특징주 삼성전자 엿새 만에 약세 전환,1,5
ynat-v1_train_00901,LG유플러스 공식 온라인몰서 아이폰6 0원에 판매,1,4
ynat-v1_train_00902,"원숭이, 경연 이 관건",4,0
ynat-v1_train_00904,갤럭시S8 덱스 지원하는 최적화 오피스앱 출시,0,4
ynat-v1_train_00905,베어링운용 증시 기초여건 우호적…위험요건은 상존,6,5
ynat-v1_train_00907,부마항쟁단체 文 후보에 항쟁의 명예 세워달라,0,2
ynat-v1_train_00911,철퇴 맞는 비트코인g중국서 출국금지y~국선7사기_ (소,5,3
ynat-v1_train_00914,제6회 국제주택도시금융포럼,5,0
ynat-v1_train_00919,홍윤식 청문회…총선관리·지방재정 등 정책질의 집중,5,2
ynat-v1_train_00928,홍준표 황교안 선거권 없어…전대출마 자격 운운 난센스,4,2
ynat-v1_train_00936,"Z훈클럽 신영기, C금B수 지원",3,1
ynat-v1_train_00937,국민의당 당무위 진통,6,2
ynat-v1_train_00938,빈자리 드문 세종 국무회의장,0,2
ynat-v1_train_00941,신간 잘못 알려진 미니스커트 경제학,4,0
ynat-v1_train_00943,미래부OECD 과학기술정책위원회 워크숍 개최,2,3
ynat-v1_train_00950,"러닝 4.0 시대, 인공지능 상용화 공식 발표",6,4
ynat-v1_train_00954,류현진이 변했다…콜로라도전 앞두고 또 불펜 투구,0,6
ynat-v1_train_00971,한진그룹 세대교체 인사…조현아는 인사 명단서 빠져종합2보,6,3
ynat-v1_train_00974,"인공지능 화재, 가정에서 발생",3,4
ynat-v1_train_00983,"9일 한미 정상회의, 북핵·경제 협력 논의",6,2
ynat-v1_train_00990,포틀랜드 워싱턴 꺾고 NBA 서부콘퍼런스 선두 도약,4,1
ynat-v1_train_00996,LH 광주전남본부 보유 토지 1만9천㎡ 매각,0,3
ynat-v1_train_01004,"FT 발표, 새로운 메시지 공개",1,4
ynat-v1_train_01005,프로야구 LG 29일부터 일본 고치 마무리 훈련,5,1
ynat-v1_train_01006,보고 들으며 즐기는 詩…찾아가는 시문학 공연,5,0
ynat-v1_train_01011,북한 개성공단 남측인원 오후 5시30분까지 추방3보,4,3
ynat-v1_train_01012,전 대통령 뒷돈 의혹,1,3
ynat-v1_train_01017,아시안게임 2연패 노리던 한국 남자농구 이란에 막혀 ...,3,1
ynat-v1_train_01027,SK브로드밴드 T멤버십 혜택 강화,1,5
ynat-v1_train_01029,"윤 감독, KCA 베트남 앙 T1 서포터즈 세미나 개최",5,1
ynat-v1_train_01031,평양정상회담정상회담 특별수행단 리용남과 면담,4,6
ynat-v1_train_01038,온종일 차는 스s트!치 전자파i얼마나 나vh,4,0
ynat-v1_train_01046,MLB 워싱턴 감독 총력전 선언 스트라스버그도 불펜 대기,4,1
ynat-v1_train_01048,한국디지털뉴스협회장에 양상우 한겨레 사장,6,3
ynat-v1_train_01050,포토에세이 6년 공사 끝내고 문 연 터키 최대 이슬람 사원 참르자,1,0
ynat-v1_train_01052,"남자친구, 구속 대상",2,6
ynat-v1_train_01053,"1세 아기, 1주일 만에 사망",0,6
ynat-v1_train_01056,프로농구연맹 어시스터 모집,6,1
