ID,target_file1,target_file2
ynat-v1_train_00414,2,5
ynat-v1_train_00415,5,1
ynat-v1_train_00417,5,3
ynat-v1_train_00419,6,5
ynat-v1_train_00420,2,4
ynat-v1_train_00422,5,6
ynat-v1_train_00424,3,4
ynat-v1_train_00426,3,1
ynat-v1_train_00427,5,2
ynat-v1_train_00428,0,5
ynat-v1_train_00433,0,5
ynat-v1_train_00435,6,0
ynat-v1_train_00437,6,0
ynat-v1_train_00438,6,5
ynat-v1_train_00442,5,3
ynat-v1_train_00444,1,5
ynat-v1_train_00457,3,1
ynat-v1_train_00465,3,1
ynat-v1_train_00468,2,3
ynat-v1_train_00469,6,0
ynat-v1_train_00472,1,3
ynat-v1_train_00473,5,0
ynat-v1_train_00478,5,1
ynat-v1_train_00481,4,3
ynat-v1_train_00487,6,3
ynat-v1_train_00488,4,3
ynat-v1_train_00492,0,2
ynat-v1_train_00501,5,0
ynat-v1_train_00506,2,3
ynat-v1_train_00507,2,0
ynat-v1_train_00508,1,6
ynat-v1_train_00513,3,1
ynat-v1_train_00519,3,1
ynat-v1_train_00522,0,6
ynat-v1_train_00536,6,2
ynat-v1_train_00544,5,4
ynat-v1_train_00545,0,1
ynat-v1_train_00549,6,2
ynat-v1_train_00553,2,0
ynat-v1_train_00569,2,0
ynat-v1_train_00584,6,3
ynat-v1_train_00587,2,4
ynat-v1_train_00589,2,0
ynat-v1_train_00594,6,5
ynat-v1_train_00598,6,1
ynat-v1_train_00599,1,4
ynat-v1_train_00602,3,6
ynat-v1_train_00603,0,4
ynat-v1_train_00605,5,4
ynat-v1_train_00607,4,0
ynat-v1_train_00616,1,4
ynat-v1_train_00619,6,5
ynat-v1_train_00621,6,3
ynat-v1_train_00627,4,6
ynat-v1_train_00630,0,4
ynat-v1_train_00634,3,1
ynat-v1_train_00637,2,1
ynat-v1_train_00644,5,0
ynat-v1_train_00645,6,0
ynat-v1_train_00651,3,1
ynat-v1_train_00653,1,5
ynat-v1_train_00658,0,5
ynat-v1_train_00661,2,4
ynat-v1_train_00662,1,5
ynat-v1_train_00663,3,6
ynat-v1_train_00673,2,0
ynat-v1_train_00676,6,2
ynat-v1_train_00677,1,3
ynat-v1_train_00680,3,5
ynat-v1_train_00681,4,2
ynat-v1_train_00684,3,1
ynat-v1_train_00688,1,4
ynat-v1_train_00689,3,5
ynat-v1_train_00692,6,5
ynat-v1_train_00699,6,1
ynat-v1_train_00702,0,2
ynat-v1_train_00705,2,6
ynat-v1_train_00708,5,3
ynat-v1_train_00709,4,5
ynat-v1_train_00712,6,5
ynat-v1_train_00713,5,1
ynat-v1_train_00716,6,1
ynat-v1_train_00718,4,5
ynat-v1_train_00727,0,3
ynat-v1_train_00731,5,4
ynat-v1_train_00734,0,3
ynat-v1_train_00736,2,1
ynat-v1_train_00737,6,2
ynat-v1_train_00750,1,4
ynat-v1_train_00754,6,5
ynat-v1_train_00758,5,4
ynat-v1_train_00762,6,2
ynat-v1_train_00764,0,4
ynat-v1_train_00773,6,4
ynat-v1_train_00776,2,6
ynat-v1_train_00777,0,5
ynat-v1_train_00780,5,0
ynat-v1_train_00790,1,6
ynat-v1_train_00792,3,2
ynat-v1_train_00793,0,6
ynat-v1_train_00795,0,3
ynat-v1_train_00805,3,4
ynat-v1_train_00811,5,6
ynat-v1_train_00817,6,0
ynat-v1_train_00832,1,5
ynat-v1_train_00839,6,4
ynat-v1_train_00843,1,2
ynat-v1_train_00855,6,2
ynat-v1_train_00858,4,5
ynat-v1_train_00861,2,6
ynat-v1_train_00862,4,1
ynat-v1_train_00863,0,3
ynat-v1_train_00868,0,5
ynat-v1_train_00870,1,4
ynat-v1_train_00881,2,1
ynat-v1_train_00882,0,3
ynat-v1_train_00884,3,6
ynat-v1_train_00886,6,0
ynat-v1_train_00897,5,1
ynat-v1_train_00904,4,0
ynat-v1_train_00905,5,6
ynat-v1_train_00907,2,0
ynat-v1_train_00910,2,5
ynat-v1_train_00913,6,1
ynat-v1_train_00919,2,5
ynat-v1_train_00926,6,4
ynat-v1_train_00928,2,4
ynat-v1_train_00933,0,3
ynat-v1_train_00937,2,6
ynat-v1_train_00938,2,0
ynat-v1_train_00941,0,4
ynat-v1_train_00954,1,0
ynat-v1_train_00955,0,6
ynat-v1_train_00965,3,2
ynat-v1_train_00990,1,4
ynat-v1_train_00995,5,4
ynat-v1_train_01003,4,1
ynat-v1_train_01006,0,5
ynat-v1_train_01017,1,3
ynat-v1_train_01030,1,4
ynat-v1_train_01031,2,4
ynat-v1_train_01032,3,2
ynat-v1_train_01046,1,4
ynat-v1_train_01048,3,6
ynat-v1_train_01050,6,1
ynat-v1_train_01056,1,6
ynat-v1_train_01057,0,1
ynat-v1_train_01067,6,3
ynat-v1_train_01071,4,1
ynat-v1_train_01075,2,6
ynat-v1_train_01076,1,0
ynat-v1_train_01079,5,2
ynat-v1_train_01080,1,4
ynat-v1_train_01083,0,5
ynat-v1_train_01087,4,0
ynat-v1_train_01090,0,3
ynat-v1_train_01097,2,1
ynat-v1_train_01100,2,6
ynat-v1_train_01103,1,5
ynat-v1_train_01107,6,3
ynat-v1_train_01109,3,2
ynat-v1_train_01111,6,4
ynat-v1_train_01118,5,3
ynat-v1_train_01119,6,2
ynat-v1_train_01126,5,4
ynat-v1_train_01127,0,4
ynat-v1_train_01128,0,1
ynat-v1_train_01132,4,6
ynat-v1_train_01134,6,5
ynat-v1_train_01135,2,6
ynat-v1_train_01136,6,2
ynat-v1_train_01139,5,0
ynat-v1_train_01148,1,5
ynat-v1_train_01151,0,6
ynat-v1_train_01155,3,4
ynat-v1_train_01156,2,5
ynat-v1_train_01162,0,2
ynat-v1_train_01166,0,4
ynat-v1_train_01169,0,1
ynat-v1_train_01172,3,2
ynat-v1_train_01174,2,4
ynat-v1_train_01175,4,6
ynat-v1_train_01187,5,6
ynat-v1_train_01188,3,2
ynat-v1_train_01190,0,2
ynat-v1_train_01199,6,3
ynat-v1_train_01206,2,1
ynat-v1_train_01212,6,1
ynat-v1_train_01214,1,3
ynat-v1_train_01216,1,3
ynat-v1_train_01219,5,2
ynat-v1_train_01222,1,3
ynat-v1_train_01223,1,0
ynat-v1_train_01225,4,5
ynat-v1_train_01227,1,4
ynat-v1_train_01229,3,4
ynat-v1_train_01242,5,6
ynat-v1_train_01248,4,1
ynat-v1_train_01250,2,6
ynat-v1_train_01252,0,4
ynat-v1_train_01261,6,2
ynat-v1_train_01262,5,4
ynat-v1_train_01267,2,1
ynat-v1_train_01269,6,4
ynat-v1_train_01273,2,5
ynat-v1_train_01276,2,0
ynat-v1_train_01279,2,6
ynat-v1_train_01280,5,1
ynat-v1_train_01281,5,6
ynat-v1_train_01284,3,6
ynat-v1_train_01291,5,2
ynat-v1_train_01298,0,5
ynat-v1_train_01303,5,6
ynat-v1_train_01305,1,0
ynat-v1_train_01308,1,5
ynat-v1_train_01309,4,0
ynat-v1_train_01310,2,1
ynat-v1_train_01311,3,2
ynat-v1_train_01325,0,6
ynat-v1_train_01326,6,4
ynat-v1_train_01327,5,6
ynat-v1_train_01328,3,2
ynat-v1_train_01329,6,2
ynat-v1_train_01331,6,2
ynat-v1_train_01332,1,4
ynat-v1_train_01334,1,5
ynat-v1_train_01336,1,4
ynat-v1_train_01337,3,2
ynat-v1_train_01339,1,0
ynat-v1_train_01344,1,4
ynat-v1_train_01348,1,5
ynat-v1_train_01349,3,1
ynat-v1_train_01351,4,6
ynat-v1_train_01353,0,6
ynat-v1_train_01358,0,4
ynat-v1_train_01359,0,4
ynat-v1_train_01362,4,1
ynat-v1_train_01363,0,2
ynat-v1_train_01379,1,0
ynat-v1_train_01381,2,1
ynat-v1_train_01388,4,0
ynat-v1_train_01389,6,1
ynat-v1_train_01391,4,1
ynat-v1_train_01392,4,0
ynat-v1_train_01395,6,2
ynat-v1_train_01396,1,6
ynat-v1_train_01398,4,6
ynat-v1_train_01399,1,4
ynat-v1_train_01400,6,3
ynat-v1_train_01404,0,4
ynat-v1_train_01409,2,3
ynat-v1_train_01413,1,6
ynat-v1_train_01415,2,3
ynat-v1_train_01416,1,3
ynat-v1_train_01418,5,2
ynat-v1_train_01422,5,6
ynat-v1_train_01424,3,4
ynat-v1_train_01425,3,2
ynat-v1_train_01427,2,4
ynat-v1_train_01428,2,0
ynat-v1_train_01429,0,3
ynat-v1_train_01430,5,6
ynat-v1_train_01431,0,5
ynat-v1_train_01432,6,1
ynat-v1_train_01435,5,3
ynat-v1_train_01436,5,2
ynat-v1_train_01446,1,6
ynat-v1_train_01447,6,4
ynat-v1_train_01451,6,2
ynat-v1_train_01452,6,1
ynat-v1_train_01454,2,1
ynat-v1_train_01460,4,6
ynat-v1_train_01461,0,4
ynat-v1_train_01474,2,0
ynat-v1_train_01475,3,4
ynat-v1_train_01481,5,2
ynat-v1_train_01486,4,2
ynat-v1_train_01489,6,2
ynat-v1_train_01490,6,1
ynat-v1_train_01492,3,1
ynat-v1_train_01493,3,5
ynat-v1_train_01494,5,6
ynat-v1_train_01496,3,0
ynat-v1_train_01501,4,5
ynat-v1_train_01502,5,6
ynat-v1_train_01503,6,0
ynat-v1_train_01506,6,5
ynat-v1_train_01507,0,2
ynat-v1_train_01509,5,2
ynat-v1_train_01517,6,3
ynat-v1_train_01518,0,4
ynat-v1_train_01522,1,4
ynat-v1_train_01524,3,5
ynat-v1_train_01530,6,2
ynat-v1_train_01534,6,1
ynat-v1_train_01542,1,5
ynat-v1_train_01543,0,1
ynat-v1_train_01545,2,3
ynat-v1_train_01550,4,5
ynat-v1_train_01551,0,6
ynat-v1_train_01553,3,4
ynat-v1_train_01557,1,6
ynat-v1_train_01558,5,4
ynat-v1_train_01571,3,0
ynat-v1_train_01576,1,5
ynat-v1_train_01578,5,2
ynat-v1_train_01579,2,0
ynat-v1_train_01580,4,5
ynat-v1_train_01581,4,1
ynat-v1_train_01585,2,4
ynat-v1_train_01588,2,4
ynat-v1_train_01591,2,6
ynat-v1_train_01598,5,3
ynat-v1_train_01599,3,5
ynat-v1_train_01604,3,4
ynat-v1_train_01605,1,3
ynat-v1_train_01620,3,4
ynat-v1_train_01624,1,2
ynat-v1_train_01626,4,3
ynat-v1_train_01631,6,5
ynat-v1_train_01633,6,0
ynat-v1_train_01634,6,4
ynat-v1_train_01636,2,5
ynat-v1_train_01637,5,4
ynat-v1_train_01640,2,3
ynat-v1_train_01646,1,2
ynat-v1_train_01653,0,5
ynat-v1_train_01656,6,2
ynat-v1_train_01659,5,1
ynat-v1_train_01665,6,4
ynat-v1_train_01666,4,6
ynat-v1_train_01675,0,5
ynat-v1_train_01687,4,6
ynat-v1_train_01691,1,2
ynat-v1_train_01694,0,2
ynat-v1_train_01696,0,3
ynat-v1_train_01702,4,5
ynat-v1_train_01704,0,3
ynat-v1_train_01706,2,1
ynat-v1_train_01709,2,1
ynat-v1_train_01711,5,2
ynat-v1_train_01713,5,0
ynat-v1_train_01714,1,2
ynat-v1_train_01716,5,1
ynat-v1_train_01718,6,3
ynat-v1_train_01724,1,2
ynat-v1_train_01726,5,0
ynat-v1_train_01732,2,3
ynat-v1_train_01733,5,2
ynat-v1_train_01735,4,1
ynat-v1_train_01737,3,6
ynat-v1_train_01740,5,2
ynat-v1_train_01741,6,1
ynat-v1_train_01742,1,2
ynat-v1_train_01756,2,5
ynat-v1_train_01766,3,5
ynat-v1_train_01767,3,4
ynat-v1_train_01770,2,6
ynat-v1_train_01772,0,6
ynat-v1_train_01774,2,6
ynat-v1_train_01775,1,5
ynat-v1_train_01776,4,5
ynat-v1_train_01780,3,6
ynat-v1_train_01781,5,3
ynat-v1_train_01784,3,2
ynat-v1_train_01785,4,3
ynat-v1_train_01791,3,6
ynat-v1_train_01794,0,5
ynat-v1_train_01799,6,1
ynat-v1_train_01801,2,4
ynat-v1_train_01806,3,0
ynat-v1_train_01807,1,3
ynat-v1_train_01808,4,3
ynat-v1_train_01811,6,5
ynat-v1_train_01814,4,5
ynat-v1_train_01815,0,2
ynat-v1_train_01819,6,0
ynat-v1_train_01824,0,3
ynat-v1_train_01825,2,3
ynat-v1_train_01830,6,2
ynat-v1_train_01831,6,0
ynat-v1_train_01832,3,5
ynat-v1_train_01835,0,3
ynat-v1_train_01836,1,3
ynat-v1_train_01840,5,0
ynat-v1_train_01845,0,2
ynat-v1_train_01846,5,6
ynat-v1_train_01856,3,4
ynat-v1_train_01857,1,2
ynat-v1_train_01858,4,5
ynat-v1_train_01859,5,6
ynat-v1_train_01860,6,4
ynat-v1_train_01861,5,0
ynat-v1_train_01862,2,3
ynat-v1_train_01863,4,0
ynat-v1_train_01877,6,1
ynat-v1_train_01878,3,5
ynat-v1_train_01880,2,1
ynat-v1_train_01883,0,6
ynat-v1_train_01885,0,2
ynat-v1_train_01887,3,5
ynat-v1_train_01891,2,5
ynat-v1_train_01893,1,0
ynat-v1_train_01895,5,1
ynat-v1_train_01900,6,4
ynat-v1_train_01901,0,3
ynat-v1_train_01902,2,0
ynat-v1_train_01905,5,2
ynat-v1_train_01909,4,6
ynat-v1_train_01921,5,0
ynat-v1_train_01922,6,5
ynat-v1_train_01924,4,0
ynat-v1_train_01927,5,1
ynat-v1_train_01931,0,2
ynat-v1_train_01936,0,6
ynat-v1_train_01938,0,2
ynat-v1_train_01940,0,2
ynat-v1_train_01945,3,0
ynat-v1_train_01946,4,1
ynat-v1_train_01952,0,4
ynat-v1_train_01965,3,2
ynat-v1_train_01971,6,0
ynat-v1_train_01982,3,4
ynat-v1_train_01983,3,6
ynat-v1_train_01985,2,6
ynat-v1_train_01995,3,4
ynat-v1_train_01997,0,2
ynat-v1_train_01998,0,1
ynat-v1_train_02007,2,0
ynat-v1_train_02008,0,1
ynat-v1_train_02015,1,0
ynat-v1_train_02016,6,3
ynat-v1_train_02021,2,0
ynat-v1_train_02024,6,3
ynat-v1_train_02031,1,0
ynat-v1_train_02036,1,2
ynat-v1_train_02039,1,6
ynat-v1_train_02041,5,2
ynat-v1_train_02043,0,3
ynat-v1_train_02047,6,4
ynat-v1_train_02049,0,4
ynat-v1_train_02053,0,6
ynat-v1_train_02054,1,0
ynat-v1_train_02055,2,1
ynat-v1_train_02056,6,2
ynat-v1_train_02058,3,4
ynat-v1_train_02059,4,3
ynat-v1_train_02064,6,1
ynat-v1_train_02066,6,4
ynat-v1_train_02071,2,1
ynat-v1_train_02073,0,1
ynat-v1_train_02075,3,5
ynat-v1_train_02081,1,3
ynat-v1_train_02082,5,6
ynat-v1_train_02083,3,1
ynat-v1_train_02091,4,5
ynat-v1_train_02093,6,4
ynat-v1_train_02099,5,4
ynat-v1_train_02101,5,1
ynat-v1_train_02102,0,4
ynat-v1_train_02103,5,0
ynat-v1_train_02104,4,5
ynat-v1_train_02107,6,5
ynat-v1_train_02108,0,2
ynat-v1_train_02110,0,5
ynat-v1_train_02111,4,5
ynat-v1_train_02113,4,6
ynat-v1_train_02114,3,6
ynat-v1_train_02116,0,6
ynat-v1_train_02120,1,3
ynat-v1_train_02123,0,5
ynat-v1_train_02125,3,5
ynat-v1_train_02127,4,5
ynat-v1_train_02130,3,4
ynat-v1_train_02132,2,0
ynat-v1_train_02134,2,5
ynat-v1_train_02136,6,3
ynat-v1_train_02137,0,5
ynat-v1_train_02138,2,5
ynat-v1_train_02146,3,2
ynat-v1_train_02147,6,0
ynat-v1_train_02148,0,3
ynat-v1_train_02151,3,1
ynat-v1_train_02153,1,6
ynat-v1_train_02155,2,4
ynat-v1_train_02157,2,1
ynat-v1_train_02159,3,1
ynat-v1_train_02163,5,2
ynat-v1_train_02164,2,3
ynat-v1_train_02169,1,0
ynat-v1_train_02170,0,2
ynat-v1_train_02171,3,5
ynat-v1_train_02177,2,5
ynat-v1_train_02178,2,1
ynat-v1_train_02180,3,0
ynat-v1_train_02183,0,5
ynat-v1_train_02184,4,5
ynat-v1_train_02186,1,4
ynat-v1_train_02187,0,2
ynat-v1_train_02196,6,5
ynat-v1_train_02197,3,1
ynat-v1_train_02201,1,6
ynat-v1_train_02204,2,6
ynat-v1_train_02206,6,0
ynat-v1_train_02208,0,3
ynat-v1_train_02209,4,2
ynat-v1_train_02211,2,6
ynat-v1_train_02216,4,5
ynat-v1_train_02221,5,6
ynat-v1_train_02225,1,0
ynat-v1_train_02228,5,3
ynat-v1_train_02233,0,3
ynat-v1_train_02235,4,0
ynat-v1_train_02238,5,1
ynat-v1_train_02242,4,5
ynat-v1_train_02243,4,0
ynat-v1_train_02245,1,6
ynat-v1_train_02249,6,0
ynat-v1_train_02250,6,4
ynat-v1_train_02253,4,2
ynat-v1_train_02256,3,6
ynat-v1_train_02258,2,1
ynat-v1_train_02267,5,0
ynat-v1_train_02269,4,2
ynat-v1_train_02272,5,6
ynat-v1_train_02273,5,0
ynat-v1_train_02276,6,3
ynat-v1_train_02277,1,0
ynat-v1_train_02279,5,6
ynat-v1_train_02280,2,4
ynat-v1_train_02281,1,6
ynat-v1_train_02282,1,5
ynat-v1_train_02284,3,1
ynat-v1_train_02305,5,2
ynat-v1_train_02309,0,6
ynat-v1_train_02319,3,6
ynat-v1_train_02326,0,2
ynat-v1_train_02329,2,5
ynat-v1_train_02330,4,6
ynat-v1_train_02331,1,3
ynat-v1_train_02336,5,4
ynat-v1_train_02337,5,4
ynat-v1_train_02339,6,1
ynat-v1_train_02342,0,3
ynat-v1_train_02347,6,5
ynat-v1_train_02349,6,4
ynat-v1_train_02350,0,4
ynat-v1_train_02354,1,5
ynat-v1_train_02357,5,2
ynat-v1_train_02361,4,1
ynat-v1_train_02365,2,4
ynat-v1_train_02370,1,2
ynat-v1_train_02374,2,6
ynat-v1_train_02377,1,2
ynat-v1_train_02380,6,5
ynat-v1_train_02391,0,5
ynat-v1_train_02394,1,4
ynat-v1_train_02395,3,6
ynat-v1_train_02399,3,2
ynat-v1_train_02403,3,1
ynat-v1_train_02407,6,4
ynat-v1_train_02409,5,0
ynat-v1_train_02411,3,0
ynat-v1_train_02415,6,1
ynat-v1_train_02416,4,5
ynat-v1_train_02418,3,1
ynat-v1_train_02429,0,1
ynat-v1_train_02431,0,3
ynat-v1_train_02435,4,5
ynat-v1_train_02436,3,0
ynat-v1_train_02438,2,1
ynat-v1_train_02443,0,6
ynat-v1_train_02444,5,4
ynat-v1_train_02445,6,1
ynat-v1_train_02446,6,0
ynat-v1_train_02454,0,6
ynat-v1_train_02459,5,0
ynat-v1_train_02461,6,4
ynat-v1_train_02468,1,3
ynat-v1_train_02475,6,2
ynat-v1_train_02483,1,3
ynat-v1_train_02485,4,3
ynat-v1_train_02486,2,6
ynat-v1_train_02488,0,5
ynat-v1_train_02489,0,1
ynat-v1_train_02497,0,5
ynat-v1_train_02499,3,4
ynat-v1_train_02504,4,5
ynat-v1_train_02506,0,5
ynat-v1_train_02508,2,1
ynat-v1_train_02512,2,4
ynat-v1_train_02518,5,6
ynat-v1_train_02520,4,6
ynat-v1_train_02524,4,6
ynat-v1_train_02525,1,5
ynat-v1_train_02527,1,5
ynat-v1_train_02534,4,3
ynat-v1_train_02535,6,1
ynat-v1_train_02536,6,1
ynat-v1_train_02537,2,6
ynat-v1_train_02541,4,6
ynat-v1_train_02542,1,5
ynat-v1_train_02543,1,3
ynat-v1_train_02544,6,3
ynat-v1_train_02547,6,2
ynat-v1_train_02548,2,1
ynat-v1_train_02550,3,5
ynat-v1_train_02553,6,5
ynat-v1_train_02556,5,6
ynat-v1_train_02557,2,0
ynat-v1_train_02558,1,0
ynat-v1_train_02560,4,5
ynat-v1_train_02563,6,0
ynat-v1_train_02564,5,2
ynat-v1_train_02572,6,0
ynat-v1_train_02576,6,5
ynat-v1_train_02578,6,3
ynat-v1_train_02579,6,0
ynat-v1_train_02584,4,5
ynat-v1_train_02597,3,5
ynat-v1_train_02600,0,6
ynat-v1_train_02603,1,6
ynat-v1_train_02605,6,5
ynat-v1_train_02613,1,3
ynat-v1_train_02614,2,3
ynat-v1_train_02620,1,4
ynat-v1_train_02623,1,3
ynat-v1_train_02627,6,4
ynat-v1_train_02628,6,4
ynat-v1_train_02633,4,5
ynat-v1_train_02636,5,2
ynat-v1_train_02639,4,5
ynat-v1_train_02649,5,1
ynat-v1_train_02650,3,4
ynat-v1_train_02654,1,2
ynat-v1_train_02677,4,1
ynat-v1_train_02685,6,2
ynat-v1_train_02688,6,2
ynat-v1_train_02696,2,1
ynat-v1_train_02712,0,3
ynat-v1_train_02716,0,2
ynat-v1_train_02727,3,4
ynat-v1_train_02728,4,5
ynat-v1_train_02736,3,2
ynat-v1_train_02748,1,0
ynat-v1_train_02754,6,0
ynat-v1_train_02768,6,1
ynat-v1_train_02777,0,1
ynat-v1_train_02785,3,4
ynat-v1_train_02793,3,1
ynat-v1_train_02796,4,2
ynat-v1_train_02799,3,4
ynat-v1_train_00071,0,2
ynat-v1_train_00080,3,5
ynat-v1_train_00111,4,5
ynat-v1_train_00171,6,5
ynat-v1_train_00240,1,3
ynat-v1_train_00252,6,5
ynat-v1_train_00371,1,0
ynat-v1_train_00576,0,4
ynat-v1_train_00841,3,1
ynat-v1_train_00971,3,6
ynat-v1_train_00986,2,6
ynat-v1_train_01077,2,1
ynat-v1_train_01200,3,0
ynat-v1_train_01208,3,1
ynat-v1_train_01270,2,5
ynat-v1_train_01440,6,0
ynat-v1_train_01471,2,0
ynat-v1_train_01538,6,4
ynat-v1_train_01561,0,5
ynat-v1_train_01680,3,4
ynat-v1_train_01768,1,4
ynat-v1_train_01847,4,2
ynat-v1_train_01951,5,1
ynat-v1_train_02069,4,5
ynat-v1_train_02217,3,1
ynat-v1_train_02422,4,3
ynat-v1_train_02457,5,2
ynat-v1_train_02487,6,1
ynat-v1_train_02500,3,5
ynat-v1_train_02559,2,6
ynat-v1_train_02569,2,6
ynat-v1_train_02640,1,6
ynat-v1_train_02690,2,3
ynat-v1_train_00007,1,4
ynat-v1_train_00011,5,1
ynat-v1_train_00034,6,4
ynat-v1_train_00039,4,2
ynat-v1_train_00066,1,0
ynat-v1_train_00068,1,0
ynat-v1_train_00078,3,5
ynat-v1_train_00088,5,6
ynat-v1_train_00095,5,0
ynat-v1_train_00102,5,0
ynat-v1_train_00106,1,0
ynat-v1_train_00115,3,4
ynat-v1_train_00134,5,6
ynat-v1_train_00137,0,4
ynat-v1_train_00142,2,0
ynat-v1_train_00153,1,6
ynat-v1_train_00156,1,5
ynat-v1_train_00160,4,6
ynat-v1_train_00167,1,3
ynat-v1_train_00191,1,4
ynat-v1_train_00195,5,6
ynat-v1_train_00198,3,6
ynat-v1_train_00199,5,2
ynat-v1_train_00226,1,2
ynat-v1_train_00338,3,1
ynat-v1_train_00342,3,4
ynat-v1_train_00346,5,2
ynat-v1_train_00363,4,0
ynat-v1_train_00380,6,5
ynat-v1_train_00431,4,3
ynat-v1_train_00452,0,4
ynat-v1_train_00463,4,3
ynat-v1_train_00467,4,0
ynat-v1_train_00491,5,4
ynat-v1_train_00504,6,4
ynat-v1_train_00529,4,1
ynat-v1_train_00540,4,1
ynat-v1_train_00542,5,3
ynat-v1_train_00582,1,0
ynat-v1_train_00617,3,1
ynat-v1_train_00629,1,4
ynat-v1_train_00638,0,2
ynat-v1_train_00652,5,2
ynat-v1_train_00657,4,0
ynat-v1_train_00660,1,2
ynat-v1_train_00669,0,4
ynat-v1_train_00687,5,1
ynat-v1_train_00691,1,5
ynat-v1_train_00725,2,3
ynat-v1_train_00728,4,5
ynat-v1_train_00745,5,4
ynat-v1_train_00746,4,6
ynat-v1_train_00748,3,4
ynat-v1_train_00769,4,0
ynat-v1_train_00798,4,3
